experiment,method,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,star_queries,fast_only_star_queries,exact_star_queries
adaptive_compare,relative_stderr,11350073,7,0.858416677,-0.691859365,-0.104853749,0.168326825,0.0617035627,0.106623262,0.0760410279,0.185031608,32,24.28125,777,718,59
adaptive_compare,relative_stderr,11350073,8,-0.547895193,0.215225339,-0.0236042738,-0.528529465,-0.356274128,0.172255337,0.10326077,0.341209173,32,30.25,968,895,73
adaptive_compare,relative_stderr,11350073,9,0.184701324,0.537868142,-0.598877311,0.179421708,0.123692155,0.0557295531,0.0450414866,0.0649195313,32,24.1875,774,713,61
adaptive_compare,relative_stderr,11350073,10,-0.344360948,0.499720097,0.563081384,0.750904679,0.718440533,0.0324641466,0.115715243,0.428480566,32,29.53125,945,886,59
adaptive_compare,relative_stderr,11350073,12,-0.563693404,-0.443703175,0.547920108,-0.397957265,-0.459476471,0.0615192056,0.0867221653,0.240663484,32,27.5,880,826,54
adaptive_compare,relative_stderr,11350073,13,0.440633297,0.631047606,0.272076488,1.58394277,1.34375739,0.24018538,0.136350304,0.297462463,16,25.1875,403,359,44
adaptive_compare,relative_stderr,11350073,14,-0.909489155,0.384554863,0.660644293,0.0833418593,0.135710001,0.0523681417,0.0583650395,0.109007291,32,23.71875,759,699,60
adaptive_compare,relative_stderr,11350073,15,-0.497153163,0.55934906,-0.627428293,-0.708228409,-0.565232396,0.142996013,0.0802321434,0.205990314,32,25.53125,817,754,63
adaptive_compare,relative_stderr,11350073,16,-0.149452567,0.667010427,-0.899206877,-0.394183367,-0.381649017,0.0125343502,0.038339112,0.0235181972,16,25.3125,405,376,29
adaptive_compare,relative_stderr,11350073,18,-0.277944207,-0.836421728,-0.965359926,-2.1733532,-2.07972574,0.0936274529,0.0429298356,0.0147437667,8,25.125,201,187,14
adaptive_compare,relative_stderr,11350073,19,-0.618169546,0.211865902,0.0443507433,-0.530028284,-0.361952901,0.168075383,0.0925497487,0.274094582,32,30.375,972,901,71
adaptive_compare,relative_stderr,11350073,20,0.47976172,-0.268958926,0.387116671,0.545003474,0.597919464,0.0529159904,0.0511253476,0.0836416408,32,23.21875,743,692,51
adaptive_compare,relative_stderr,11350073,21,-0.915864706,-0.964749813,0.292342901,-1.59525514,-1.58827162,0.0069835186,0.0304645356,0.0074247038,8,19.75,158,147,11
adaptive_compare,relative_stderr,11350073,23,0.55451715,0.951274753,0.675303102,2.29541683,2.18109512,0.114321709,0.0532963425,0.0227239989,8,21.25,170,155,15
adaptive_compare,relative_stderr,11350073,24,-0.467136383,0.741174221,0.85960567,1.18799686,1.13364351,0.0543533564,0.0769526884,0.0947474614,16,23.875,382,360,22
adaptive_compare,relative_stderr,11350073,25,0.774158239,-0.93374157,0.509977579,0.291896462,0.350394249,0.0584977865,0.0631339028,0.127548456,32,23.9375,766,697,69
adaptive_compare,relative_stderr,11350073,26,0.990887284,-0.775267243,-0.657854915,-0.477628738,-0.442234874,0.0353938639,0.040100012,0.0128640877,8,17,136,120,16
adaptive_compare,relative_stderr,11350073,27,0.191856027,0.328439593,0.219511509,0.737262249,0.739807129,0.00254487991,0.0598190315,0.0572530627,16,23.3125,373,349,24
adaptive_compare,relative_stderr,11350073,28,0.650540709,0.0733433962,0.0789371729,0.894165277,0.802821279,0.0913439989,0.0916294083,0.26867035,32,26.46875,847,793,54
adaptive_compare,relative_stderr,11350073,29,0.854304075,-0.704790235,-0.887990713,-0.893230855,-0.738476872,0.154753983,0.0543107912,0.0235972963,8,29.5,236,219,17
antithetic_compare,normal,55210,0,0.669024467,-0.368286014,0.610711575,0.889718115,0.911450028,0.0217319131,0.100577064,0.323703885,32,26.40625,845,776,69
antithetic_compare,normal,55210,1,-0.484479308,0.464895487,-0.572698236,-0.538639367,-0.592282057,0.0536426902,0.0935328677,0.279948711,32,26.375,844,770,74
antithetic_compare,normal,55210,2,0.172256351,-0.713610291,-0.868186593,-1.36696863,-1.40954053,0.0425719023,0.0809934363,0.209917977,32,27.3125,874,820,54
antithetic_compare,normal,55210,3,0.857559323,0.509205222,0.729557157,2.16175199,2.09632158,0.0654304028,0.0653308555,0.136579856,32,23.59375,755,682,73
antithetic_compare,normal,55210,4,0.37571156,-0.751807451,-0.188996434,-0.492443174,-0.565092325,0.0726491511,0.0958599895,0.294052392,32,26.09375,835,785,50
antithetic_compare,normal,55210,5,0.22001636,0.570123076,0.511793375,1.27699578,1.30193281,0.0249370337,0.111107908,0.395038962,32,25.71875,823,758,65
antithetic_compare,normal,55210,6,-0.0848010778,0.00119173527,-0.372282505,-0.406797945,-0.455891848,0.0490939021,0.0560007766,0.100354783,32,32.96875,1055,985,70
antithetic_compare,normal,55210,7,-0.427281737,0.864140391,-0.714664698,-0.348753512,-0.277806044,0.0709474683,0.0767780244,0.188635677,32,27.6875,886,813,73
antithetic_compare,normal,55210,8,-0.0782675743,0.892261028,-0.0633201599,0.767000198,0.750673294,0.0163269043,0.04658724,0.069451876,32,25.5,816,750,66
antithetic_compare,normal,55210,9,0.346200705,-0.836288571,0.944859505,0.494468361,0.454771638,0.0396967232,0.0268643927,0.0230942592,32,25.21875,807,742,65
antithetic_compare,normal,55210,10,-0.234276891,0.21645391,-0.0616925955,0.00705059199,-0.0795155764,0.0865661651,0.0453985594,0.0659529418,32,19.875,636,574,62
antithetic_compare,normal,55210,11,0.773458838,-0.298699141,-0.886795282,-0.503683805,-0.412035584,0.091648221,0.0777341649,0.193363205,32,24.875,796,740,56
antithetic_compare,normal,55210,13,-0.775137305,0.445788622,-0.999838948,-1.32921433,-1.32918763,2.67028809e-05,0.000164639234,8.67394476e-07,32,5.75,184,87,97
antithetic_compare,normal,55210,14,0.436500549,0.287146211,0.606134057,1.27589166,1.32978082,0.0538891554,0.126118481,0.508987904,32,21.5625,690,624,66
antithetic_compare,normal,55210,15,0.89608252,0.31250608,-0.232471466,0.92708379,0.976117134,0.0490333438,0.104166493,0.347221076,32,25.34375,811,740,71
antithetic_compare,normal,55210,16,-0.15636003,-0.878521919,-0.903558254,-1.97632802,-1.9384402,0.0378878117,0.0238910168,0.018264981,32,22.28125,713,652,61
antithetic_compare,normal,55210,17,-0.370229006,0.130743623,0.658872724,0.464469552,0.419387341,0.0450822115,0.0830015615,0.220456302,32,23.84375,763,688,75
antithetic_compare,normal,55210,18,-0.705981255,-0.012542367,-0.751242757,-1.54077518,-1.46976638,0.0710088015,0.0765775815,0.187652037,32,26.25,840,757,83
antithetic_compare,normal,55210,19,-0.861452579,0.822770119,0.895411372,0.814355254,0.856728911,0.0423736572,0.0566894412,0.102838174,32,18.96875,607,554,53
antithetic_compare,normal,55210,20,-0.214740992,0.797539234,0.121753454,0.756419182,0.704551697,0.051867485,0.0789452046,0.199435055,32,25.28125,809,737,72
antithetic_compare,normal,55210,21,0.424316406,-0.0128270388,-0.0284894705,0.506528199,0.382999897,0.123528302,0.092641294,0.274637073,32,30.46875,975,916,59
antithetic_compare,normal,55210,22,-0.126691699,0.505880356,-0.901221633,-0.476250291,-0.522032976,0.0457826853,0.0496915951,0.079016149,32,24.46875,783,722,61
antithetic_compare,normal,55210,23,-0.825829506,-0.28624177,-0.958410501,-2.11285186,-2.07048178,0.0423700809,0.0188152306,0.0113284141,32,24.6875,790,713,77
antithetic_compare,normal,55210,24,0.606611609,-0.803770542,0.586793303,0.520821214,0.389634371,0.131186843,0.0819662809,0.214991078,32,27.34375,875,810,65
antithetic_compare,normal,55210,25,-0.952565312,0.652521968,-0.45606339,-0.767365277,-0.756106734,0.0112585425,0.0593618713,0.112762623,32,24.09375,771,714,57
antithetic_compare,normal,55210,26,0.742870808,-0.237741232,0.372004271,0.92209965,0.877133846,0.0449658036,0.0829267427,0.220059007,32,29.53125,945,877,68
antithetic_compare,normal,55210,27,0.484651327,-0.19373858,0.495671988,0.760411263,0.786584735,0.0261734724,0.0523666777,0.087752603,32,24.9375,798,729,69
antithetic_compare,normal,55210,28,0.344230533,-0.714321971,0.886509657,0.52946341,0.516418219,0.0130451918,0.0485428534,0.0754050761,32,25.6875,822,763,59
antithetic_compare,normal,55210,29,-0.241797209,0.875861645,0.0377988815,0.583226025,0.671863317,0.0886372924,0.073855646,0.174548998,32,26.34375,843,781,62
antithetic_compare,antithetic,55210,0,0.669024467,-0.368286014,0.610711575,0.938704789,0.911450028,0.0272547603,0.0871297866,0.242931187,32,22.6875,726,659,67
antithetic_compare,antithetic,55210,1,-0.484479308,0.464895487,-0.572698236,-0.569420099,-0.592282057,0.0228619576,0.0784574747,0.196978405,32,28.15625,901,836,65
antithetic_compare,antithetic,55210,2,0.172256351,-0.713610291,-0.868186593,-1.34733295,-1.40954053,0.0622075796,0.107429489,0.369315028,32,27.84375,891,830,61
antithetic_compare,antithetic,55210,3,0.857559323,0.509205222,0.729557157,2.06787419,2.09632158,0.0284473896,0.0856111273,0.234536469,32,27.375,876,810,66
antithetic_compare,antithetic,55210,4,0.37571156,-0.751807451,-0.188996434,-0.451599836,-0.565092325,0.113492489,0.110963948,0.394015938,32,27.125,868,797,71
antithetic_compare,antithetic,55210,5,0.22001636,0.570123076,0.511793375,1.37558341,1.30193281,0.0736505985,0.119122468,0.454085231,32,33.53125,1073,1001,72
antithetic_compare,antithetic,55210,6,-0.0848010778,0.00119173527,-0.372282505,-0.373848885,-0.455891848,0.0820429623,0.0411338508,0.0541438013,32,27.375,876,807,69
antithetic_compare,antithetic,55210,7,-0.427281737,0.864140391,-0.714664698,-0.228749603,-0.277806044,0.0490564406,0.059414912,0.112964213,32,27.46875,879,819,60
antithetic_compare,antithetic,55210,8,-0.0782675743,0.892261028,-0.0633201599,0.795259833,0.750673294,0.0445865393,0.0792065337,0.200757608,32,22.03125,705,642,63
antithetic_compare,antithetic,55210,9,0.346200705,-0.836288571,0.944859505,0.499834895,0.454771638,0.0450632572,0.0481287353,0.074124001,32,27.6875,886,809,77
antithetic_compare,antithetic,55210,10,-0.234276891,0.21645391,-0.0616925955,-0.0420741625,-0.0795155764,0.0374414138,0.0224100463,0.0160707254,32,21.125,676,613,63
