point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid
39,0.168983847,-0.209895268,0.0578715205,0.0169600993,0.0131152468,0.00384485256,0.00454494497,0.00394539628,191,191,21.2408371,1
40,-0.142876387,0.0167263448,0.0382198393,-0.0879302025,-0.0919698328,0.00403963029,0.00510577997,0.0266946442,1024,1024,24.4287109,1
41,-0.020595029,0.0683197379,-0.211358204,-0.163633496,-0.170697525,0.00706402957,0.00425413391,0.00367382378,203,203,18.4926109,1
42,0.169321477,-0.0284837186,0.112501681,0.25333944,0.277927071,0.0245876312,0.00914138928,0.0127854459,153,153,23.973856,1
43,-0.203641891,-0.041240871,-0.131225765,-0.376108527,-0.376677424,0.000568896532,0.00400209194,0.00856895559,535,535,20.7214947,1
44,0.0030092001,-0.034700498,0.201776057,0.17008476,0.178391665,0.00830690563,0.00677520223,0.0116594536,254,254,19.4606304,1
45,-0.032025516,0.0884926915,-0.17443639,-0.117969215,-0.129692763,0.0117235482,0.00441276934,0.0199398752,1024,1024,22.5136719,1
46,0.216476232,0.102357864,0.0151209682,0.33395505,0.336545408,0.00259035826,0.00453173788,0.000800929323,39,39,15.2307692,1
47,0.151479304,-0.209710628,-0.188612461,-0.246843785,-0.249891073,0.00304728746,0.00553903496,0.00159540726,52,52,18.2692299,1
48,-0.173315823,0.118936032,0.138584018,0.0842042267,0.0820582584,0.00214596838,0.00599833531,0.0129887899,361,361,21.7839336,1
49,-0.131052926,-0.0887222141,-0.201915696,-0.421690822,-0.423319757,0.00162893534,0.00417438243,0.00524506625,301,301,19.7607975,1
50,0.0651088953,0.0485438108,-0.0757170767,0.0379356295,0.0428581126,0.00492248312,0.00587692112,0.0353671201,1024,1024,26.9794922,1
51,-0.103809394,-0.134408683,-0.097474575,-0.335692644,-0.336584687,0.000892043114,0.00535616558,0.0293770358,1024,1024,22.4433594,1
52,0.198579997,0.181334347,-0.024426043,0.3554883,0.357606649,0.00211834908,0.00346483476,0.0049100779,409,409,20.2322731,1
53,-0.173410326,-0.0659863204,0.0277483612,-0.211648285,-0.21571143,0.00406314433,0.00561809028,0.0221571829,702,702,22.840456,1
54,0.196050256,0.0424478352,-0.0476817042,0.190816388,0.180971846,0.00984454155,0.00717281923,0.0139942188,272,272,21.1176472,1
55,0.0866099894,0.144145876,0.0349568725,0.265712738,0.267472923,0.00176018476,0.00628486695,0.0221197493,560,560,24.0249996,1
56,-0.0455759019,-0.201245606,0.197442651,-0.049378857,-0.0576588251,0.00827996805,0.00665902952,0.0035917568,81,81,19.2839508,1
