mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61337,0,0.175492898,0.508770585,0.363037527,1.04730105,9.99999975e-05,4.99999987e-05,1.10204411,1.44956827,0.347524166,0.656714499,0.0547430515,0.402267218,0.330215603,0.198969468,1.74467742,0.6334216,168,228.6875,16,16,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61337,1,-0.58936739,1.04223657,-0.397771597,0.05509758,9.99999975e-05,4.99999987e-05,0.085200198,0.0573777296,0.0278224684,0.19686237,0.030102618,0.00228014961,0.0649227053,0.0764058381,0.0674393177,0.0934056416,54.375,37.8125,16,16,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61337,2,-0.0302099232,-0.325094938,-0.904855967,-1.2601608,9.99999975e-05,4.99999987e-05,-1.23343372,-1.53957403,0.306140304,0.850309551,0.0267270803,0.279413223,0.1064502,0.253582746,0.181306317,1.02886748,44.625,94.3125,16,16,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61337,3,-1.00044477,0.364955246,0.260165095,-0.375324428,9.99999975e-05,4.99999987e-05,-0.524670064,-0.48650676,0.0381633043,0.13298364,0.149345636,0.111182332,0.15268296,0.134293467,0.37299335,0.288555771,111,46.8125,16,16,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61337,4,-1.02739704,-0.0794651881,-0.8468799,-1.95374203,9.99999975e-05,4.99999987e-05,-1.82921374,-1.91234612,0.0831323862,0.407927662,0.124528289,0.0413959026,0.100359641,0.103431337,0.161152914,0.17116867,30.875,116.8125,16,16,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61337,5,-1.06565416,0.541796327,0.578846574,0.0549887419,9.99999975e-05,4.99999987e-05,0.0251036379,0.00650767796,0.01859596,0.426986098,0.0298851039,0.0484810621,0.0182708465,0.0252798293,0.00534118153,0.0102251163,26,17.9375,16,16,0,0,1
