mesh,boundary,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54337,0,0.175492898,0.508770585,0.363037527,1.30655324,1.04730105,0.259252191,0.307889104,1.51673126,16,316.1875,1,9.99999975e-05,16,5059,4642,417,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54337,1,-0.58936739,1.04223657,-0.397771597,-0.00474006869,0.05509758,0.0598376468,0.145239621,0.337512761,16,69.625,0,9.99999975e-05,16,1114,1013,101,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54337,2,-0.0302099232,-0.325094938,-0.904855967,-1.05617523,-1.2601608,0.203985572,0.229720429,0.844343662,16,99.8125,0,9.99999975e-05,16,1597,1462,135,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54337,3,-1.00044477,0.364955246,0.260165095,-0.383565009,-0.375324428,0.00824058056,0.163373634,0.427055091,16,51.6875,0,9.99999975e-05,16,827,764,63,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54337,4,-1.02739704,-0.0794651881,-0.8468799,-1.93303049,-1.95374203,0.0207115412,0.0820611715,0.107744575,16,33.9375,0,9.99999975e-05,16,543,506,37,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54337,5,-1.06565416,0.541796327,0.578846574,0.189382449,0.0549887419,0.134393707,0.0996267796,0.158807933,16,22.5,0,9.99999975e-05,16,360,337,23,1
