experiment,method,mesh,seed,num_query_points,valid_points,walks_per_point,epsilon,min_samples,max_samples,batch_size,target_rse,elapsed_seconds,rmse,mae,mean_relative_error,mean_std_error,mean_sample_variance,mean_samples_used,median_samples_used,min_samples_used,max_samples_used,mean_steps,diverged_count,star_queries,fast_only_star_queries,exact_star_queries,refinement_ratio
lazy_refinement,lazy_threshold_x1,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,59044,500,493,512,9.99999975e-05,64,512,32,0.0500000007,27.0197205,0.00655457031616,0.0048355544428,0.172695113125,0.00546081431854,0.0181066988356,512,512,512,512,21.6314298618,0,5460119,4952711,507408,0.0929298427379
lazy_refinement,lazy_threshold_x4,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,59044,500,493,512,9.99999975e-05,64,512,32,0.0500000007,65.914057,0.00655457031616,0.0048355544428,0.172695113125,0.00546081431854,0.0181066988356,512,512,512,512,21.6314298618,0,5460119,4049983,1410136,0.2582610379
lazy_refinement,lazy_threshold_x16,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,59044,500,493,512,9.99999975e-05,64,512,32,0.0500000007,114.3378852,0.00655457031616,0.0048355544428,0.172695113125,0.00546081431854,0.0181066988356,512,512,512,512,21.6314298618,0,5460119,2958442,2501677,0.458172614919
lazy_refinement,full_exact,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,60053,500,484,512,9.99999975e-05,64,512,32,0.0500000007,234.0736884,0.00550536289883,0.00412583813862,0.0882307545788,0.00527196769532,0.0168658141321,512,512,512,512,21.3637332128,0,5294104,0,5294104,1
lazy_refinement,lazy_threshold_x1,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,60053,500,484,512,9.99999975e-05,64,512,32,0.0500000007,25.4552612,0.00550536289883,0.00412583813862,0.0882307545788,0.00527196769532,0.0168658141321,512,512,512,512,21.3637332128,0,5294104,4797477,496627,0.0938075640373
lazy_refinement,lazy_threshold_x4,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,60053,500,484,512,9.99999975e-05,64,512,32,0.0500000007,64.6420816,0.00550536289883,0.00412583813862,0.0882307545788,0.00527196769532,0.0168658141321,512,512,512,512,21.3637332128,0,5294104,3912848,1381256,0.260904583665
lazy_refinement,lazy_threshold_x16,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,60053,500,484,512,9.99999975e-05,64,512,32,0.0500000007,112.7523064,0.00550536289883,0.00412583813862,0.0882307545788,0.00527196769532,0.0168658141321,512,512,512,512,21.3637332128,0,5294104,2843081,2451023,0.462972204551
lazy_refinement,full_exact,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,61062,500,491,512,9.99999975e-05,64,512,32,0.0500000007,240.0620442,0.00580603502526,0.00423964250206,0.155234023564,0.00536394011789,0.0175913428946,512,512,512,512,21.333503055,0,5363072,0,5363072,1
lazy_refinement,lazy_threshold_x1,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,61062,500,491,512,9.99999975e-05,64,512,32,0.0500000007,25.7828301,0.00580603502526,0.00423964250206,0.155234023564,0.00536394011789,0.0175913428946,512,512,512,512,21.333503055,0,5363072,4859062,504010,0.0939778544834
lazy_refinement,lazy_threshold_x4,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,61062,500,491,512,9.99999975e-05,64,512,32,0.0500000007,64.2677854,0.00580603502526,0.00423964250206,0.155234023564,0.00536394011789,0.0175913428946,512,512,512,512,21.333503055,0,5363072,3958587,1404485,0.261880690768
