benchmark_name,walks_per_point,epsilon,zombie_rmse,wost_rmse,rmse_ratio_zombie_over_wost,zombie_elapsed_seconds,wost_elapsed_seconds
convergence,16,0.0001,0.03493856938309842,0.0304228364043,1.1484323459781074,0.27241960004903376,0.8756726
convergence,64,0.0001,0.01749959822999789,0.0157010371152,1.1145504657814433,1.085939500015229,3.3955345
convergence,256,0.0001,0.007553589193555976,0.00778334269559,0.9704813842818201,4.2954172000754625,13.2235386
convergence,1024,0.0001,0.004116662484047684,0.00398851235171,1.0321298070652187,16.702915199799463,53.8192017
epsilon,256,0.01,0.008381790821158903,0.0085723680583,0.9777684257319569,1.9256540001370013,12.3119949
epsilon,256,0.001,0.00841132147419949,0.00806158630569,1.0433829218280082,3.3031246999744326,13.1821198
epsilon,256,0.0001,0.008494851134572596,0.00780981924761,1.0877141794507257,3.976137099787593,14.2344554
epsilon,256,1e-05,0.008008985189741925,0.00764798277948,1.0472023042769547,4.559637699974701,14.1609584
linear_dirichlet_grid,256,0.0001,0.007418619384344881,0.00730264821299,1.01588070080503,25.310366900172085,89.8892315
