mesh,distance_bin,rmse_1e_2,rmse_1e_5,rmse_1e_2_over_1e_5,bias_1e_2,bias_1e_5,bias_1e_2_over_1e_5
bunny,1,0.7675299128189969,0.04365577771583024,17.58140509636778,0.31067044757142853,0.013284544062857142,23.38585698549084
bunny,2,0.34624301127211965,0.017736398403202437,19.521607679358564,0.12644168668636366,0.01220115900890909,10.36308817826552
bunny,3,0.11365289206520017,0.010767445460223525,10.55523266730722,0.04609844346086956,0.010693510145130435,4.310880415806373
bunny,4,0.03719512555481204,0.010035510186583899,3.706351233097927,0.015776039949125003,0.008884480804675,1.7756850733273772
spot,1,0.5458685050517839,0.17583579326268195,3.1044220003393064,0.1646856357740909,0.059731358990454536,2.757105121288279
spot,2,0.15144174764982704,0.05657759908275842,2.6767086285918014,0.049119089406250004,0.03500708627333333,1.4031184721496375
spot,3,0.05623095233768142,0.02261291984229388,2.486673668409258,0.021936087555166666,0.014295682001874999,1.5344554776952624
