mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index
bunny,original,0,1,0.05,0.15,-0.06708468679077509,0.11797624786416014,0.0773394231510939,0.09737175020327817,0.0055640546066623355,1.1658161306403506e-05,1.6771101699661548,0.8345503788400301,0.004748014555633229,0
bunny,original,1,1,0.05,0.15,-0.09225756624144191,0.15945208298319521,0.044373046977936786,0.06648822839078515,0.006698542607324648,1.53197013561852e-05,2.106330294698812,0.7276898808220521,0.0025474463904191502,1
bunny,original,2,1,0.05,0.15,-0.0933401681532327,0.1505744240771759,0.06682187322505459,0.10237503835135735,0.005856151349208589,1.3217339588682223e-05,1.652817257831133,0.8555049854379475,0.0030894274081242346,2
bunny,original,3,1,0.05,0.15,-0.01852854517812519,0.106607413284418,-0.04494508497260849,0.06714010205110166,0.0056078147858626805,1.198455420130304e-05,1.6309734133699407,0.8478016359653223,0.004021848408863289,3
bunny,original,4,1,0.05,0.15,-0.09766033088481181,0.031467761148364,0.015931830502283695,0.10791631619695659,0.0050415918424671895,9.230803128473883e-06,1.8557081254501189,0.7874734193177868,0.20152251845428848,4
bunny,original,5,1,0.05,0.15,0.0403933719813406,0.10456747588587686,0.04745525590558039,0.053677803797356774,0.005548206855434766,1.1736316867304035e-05,1.660681466021535,0.8463934640869113,0.001289578353709279,5
bunny,original,6,1,0.05,0.15,0.059211441554041816,0.08075027544338056,-0.02636803658354353,0.0965031067940991,0.005933032132481733,1.4249655386033745e-05,1.4029611646051183,0.9167041872621277,0.004492452022229772,6
bunny,original,7,1,0.05,0.15,0.003166477511353488,0.11394606510148739,0.05664101023352128,0.058359717862228024,0.005507884070769382,1.1315962924342462e-05,1.7131578513218306,0.8241568291400994,0.0063528322973043965,7
bunny,original,8,1,0.05,0.15,-0.014431533879891961,0.10421390325494076,0.000829365872374338,0.07875551762113091,0.005800222417019295,1.3578516276922835e-05,1.4589269800788598,0.9111821941295345,0.017032429575888797,8
bunny,original,9,1,0.05,0.15,0.03408032737410513,0.09067376206918557,0.07163254334145622,0.10313668726335373,0.005405250147071497,1.1113525976297415e-05,1.6263409601875531,0.8463266902760065,0.005045879140500142,9
bunny,original,10,1,0.05,0.15,-0.08112029802119222,0.09649080331483009,-0.04824160606697461,0.13598049028278975,0.005722676650109967,1.237005421029252e-05,1.6549455170202896,0.8384885648890221,0.0020707112081789956,10
bunny,original,11,1,0.05,0.15,-0.010740257879154308,0.18072983362842174,-0.04483729031780709,0.06099170016912638,0.005727539167491383,1.2872517919811091e-05,1.5850271298506478,0.8756628750129374,0.056662736411528226,11
bunny,original,12,1,0.05,0.15,-0.06117550274708913,0.19994915107765407,-0.034329463079114886,0.11128807002331247,0.005574178761540877,1.1639167559144477e-05,1.7155600797272745,0.8276183847201917,0.0028399226497881993,12
bunny,original,13,1,0.05,0.15,-0.035062648112951594,0.21022467245079093,0.006874601075051695,0.13424678755849265,0.006343095602779366,1.5008703182934372e-05,1.7193188549900633,0.8238170206172862,0.11376172070823105,13
bunny,original,14,1,0.05,0.15,0.021004304201886342,0.01945797034662361,0.05880895413418155,0.09433976260294498,0.005965893868526018,1.4717026154098152e-05,1.2838782752935831,0.9423893209370593,0.07666655762596979,14
bunny,original,15,1,0.05,0.15,-0.010354071553069,0.15804734234593934,0.03974120819682789,0.12973497092012623,0.005748952363395691,1.3123701342113211e-05,1.5313504414789783,0.8910741923308537,0.005082171377873812,15
bunny,original,16,1,0.05,0.15,-0.039521384653870784,0.10202618053862797,0.0672486847795438,0.09755270505743603,0.005646541926404667,1.2297175882409136e-05,1.609864155505332,0.8598685050534415,0.001717553210292248,16
bunny,original,17,1,0.05,0.15,0.04050994069128214,0.129948975337179,0.00781322553354849,0.05825629890855711,0.0054193811014348146,1.1222543158115638e-05,1.6319929254794545,0.8501586903590994,0.0005405266969723913,17
bunny,original,18,1,0.05,0.15,-0.04795853576021372,0.14411978938555334,-0.061116368251407815,0.0912039308482289,0.005659797495928717,1.2307741929984117e-05,1.6304585191527692,0.8551470575446647,0.057341908362494164,18
bunny,original,19,1,0.05,0.15,0.01569021330838649,0.12633708770971944,-0.04480275038475684,0.1196704071847047,0.0055418591543457095,1.1386719688283871e-05,1.7339379047843004,0.8177098522178721,0.008080368419291606,19
bunny,original,20,1,0.05,0.15,-0.007029393108181542,0.02250852863431474,-0.0322350878978305,0.05802191404671783,0.005842576100958737,1.2851709729832665e-05,1.7445036632971749,0.8279442251315539,0.06421453182721644,20
bunny,original,21,1,0.05,0.15,-0.04224688661155618,0.1863540632267702,0.03625867093825161,0.14702472320300675,0.0054354865753330536,1.1079081488274614e-05,1.6836817320540702,0.8304823976963883,0.0073676913749798345,21
bunny,original,22,1,0.05,0.15,-0.013922851870874803,0.06881661795028945,-0.06036895062537398,0.08776908277612308,0.005592359417963255,1.1675261946410542e-05,1.7217647996722198,0.824319784177115,0.005045477638522329,22
bunny,original,23,1,0.05,0.15,0.05995069248094373,0.11513908276442711,0.019578309294968288,0.08804404189215143,0.0058375659078164594,1.2788591730055231e-05,1.7434649611927746,0.8268390703186264,0.0018153512092428474,23
bunny,original,0,2,0.15,0.3,0.02032184399623535,0.19257610185781307,-0.002205306365317322,0.1646381967620308,0.005901227003386365,1.3301397204626614e-05,1.6761065028003415,0.8466275899307658,0.0020217772316998284,24
bunny,original,1,2,0.15,0.3,-0.0995397997044055,-0.0212173687111053,0.07261712629579334,0.2952996189140681,0.005173907006910939,1.012982431669557e-05,1.6085133540228789,0.8423055781327221,0.08035621681593667,25
bunny,original,2,2,0.15,0.3,-0.07440799059449596,0.1775197629956252,-0.1068873628783249,0.1871632843916056,0.0060088333941234326,1.5512484687446066e-05,1.1310048564003006,0.9895406946353614,0.018607442746772618,26
bunny,original,3,2,0.15,0.3,-0.12411130024240859,-0.011293429253240422,-0.010397703764275568,0.2816011196452827,0.005739426989453782,1.3497869240749735e-05,1.3945155894711079,0.9296196146782888,0.1694496665477148,27
bunny,original,4,2,0.15,0.3,0.05194495781996003,0.01626606565422764,0.059191752934721314,0.16965477447481261,0.004167950866960983,6.9862214935812154e-06,1.455351783603033,0.9079344781982827,0.023695413935604332,28
bunny,original,5,2,0.15,0.3,-0.058522577497266304,0.003203957412637015,-0.07328736945363423,0.22741477247442687,0.004444611385919068,5.068119448706082e-06,2.0542212594565377,0.5426820586874214,0.33091499578067624,29
bunny,original,6,2,0.15,0.3,0.09818926188321905,0.1022990351865539,0.0076540281464043125,0.20251290815696357,0.0057466811891269546,1.2814196555630766e-05,1.6173040317416296,0.86448992852202,0.003363664078840589,30
bunny,original,7,2,0.15,0.3,-0.12272201195200573,0.15032201579497975,0.08475062180447787,0.22049750875282303,0.005598369349959359,1.1566213261968758e-05,1.7460416250300914,0.8130304110476643,0.005352661333464866,31
bunny,original,8,2,0.15,0.3,-0.1260453978910823,0.15973307324219824,-0.0730734698087594,0.22436327680197096,0.006179316470315913,1.5903871492854614e-05,1.3268939532051425,0.9493467676404936,0.09997202917607029,32
bunny,original,9,2,0.15,0.3,-0.09836802691452869,-0.033128747722684426,-0.006474301553308887,0.29159207856030034,0.006060120462672636,1.3910869439292433e-05,1.7213656761164648,0.8347042467366647,0.053212356951969096,33
bunny,original,10,2,0.15,0.3,0.006737223383788099,0.17630107000629622,-0.07436338897516306,0.19169786238164108,0.003369985352212838,4.869519997086584e-06,1.1316574274798115,0.9871604831370464,0.09187302937814923,34
bunny,original,11,2,0.15,0.3,-0.05033993132773962,0.21152729704533416,-0.03838918534097463,0.15662066424216559,0.0054835813867459594,1.1221126933775824e-05,1.690814898725079,0.8257892041345953,0.0061130250487282005,35
bunny,original,12,2,0.15,0.3,0.01482681974822675,0.08478088505228523,-0.09345745834777816,0.23566041442478086,0.005642734104578416,1.2224510381617403e-05,1.6154742216708116,0.8553930512605528,0.01544948369054929,36
bunny,original,13,2,0.15,0.3,0.03199012447691005,0.1917607836238129,-0.036363291473404225,0.17749399572476798,0.006032974987373585,1.3324641454764893e-05,1.8012902102230304,0.8028275697897246,0.07226728626826628,37
bunny,original,14,2,0.15,0.3,-0.08531419328951215,0.1588319452084915,-0.1086846731738198,0.21364452364988482,0.005546943348793794,1.265077040293171e-05,1.386374462806957,0.9323876821418474,0.014012923537233194,38
bunny,original,15,2,0.15,0.3,0.02835671069470211,-0.01871746229489968,-0.042703683573858314,0.24167936032208415,0.007172452635685227,1.8094040114963265e-05,1.9839685884027984,0.7545180907003967,0.03677204340080439,39
bunny,original,16,2,0.15,0.3,-0.014088203092538276,0.03755617109929757,0.10074804767758974,0.18980414664715492,0.003475458706804864,3.8600650119382736e-06,1.7762368684848229,0.693779299371599,0.03540190222332781,40
bunny,original,17,2,0.15,0.3,-0.005259870044663217,0.2183327895712648,0.03486492038222047,0.24215251010773928,0.0045306230499901935,7.49264235262149e-06,1.8579889640281748,0.7953053715047947,0.20829706526269043,41
bunny,original,18,2,0.15,0.3,-0.09531524302327367,0.10677084766223541,-0.07881104361455021,0.24461728377805783,0.005346858153464157,1.1216129189774063e-05,1.41934559804347,0.8829933067867877,0.08027753581796974,42
bunny,original,19,2,0.15,0.3,-0.10110767307094089,0.08620354896067381,0.09178943838377676,0.2217728279783928,0.005556320041098041,1.1567035286987902e-05,1.7135427366565956,0.8279229447913536,0.0068889511767934826,43
bunny,original,20,2,0.15,0.3,-0.03767335352254672,-0.02099701698289333,-0.013566884443239974,0.21958339179027042,0.006390642500707127,1.5091115203614518e-05,1.807170728542771,0.8064310027855446,0.0010134995833136855,44
bunny,original,21,2,0.15,0.3,-0.10762198186012598,0.06222217741215766,-0.03913454408236797,0.18400012738973304,0.005246241650502551,1.0190918245369697e-05,1.8032714379068984,0.8088793971358537,0.005639988061212686,45
bunny,original,22,2,0.15,0.3,-0.1249642731360291,0.10579234311447919,-0.01796188153137207,0.173269151304131,0.005712235448293385,1.3104532910608352e-05,1.4698982896697605,0.9058358410132054,0.005981346866307728,46
bunny,original,23,2,0.15,0.3,0.026891082683121542,0.19439098501471933,0.053878141006981156,0.29268892272152586,0.005427055629061035,1.1098050954775978e-05,1.6690675201505,0.8355548669117162,0.005182715265389899,47
bunny,original,0,3,0.3,0.6,0.07755205513042882,-0.04791179773516005,-0.07356187173879081,0.47118815931129737,0.005382959141377156,9.051852071605959e-06,1.9492105706915315,0.6721488395249682,0.06375385264246218,48
bunny,original,1,3,0.3,0.6,0.17005116450410776,0.08687953994808975,-0.07635193980915067,0.5561819240696056,0.005521081039446318,1.274548175698275e-05,1.301921813432172,0.9547247539850581,0.005689193037914486,49
bunny,original,2,3,0.3,0.6,-0.14964593552697908,-0.07035591861992968,-0.015315012371097586,0.5265925494257673,0.005587512402855299,1.2143663407330112e-05,1.6014597769606693,0.8678720049787486,0.02985094481904423,50
bunny,original,3,3,0.3,0.6,-0.10277474755206077,0.13894161750691505,-0.13495046871262242,0.35291961815361705,0.005980172430101478,1.2204771871885236e-05,1.8622454714875947,0.7425174618309889,0.03344055875163258,51
bunny,original,4,3,0.3,0.6,-0.07047553145145927,-0.10610450459711197,-0.06360354882451416,0.589509241715278,0.004444611385919068,5.068119448706082e-06,2.0542212594565377,0.5426820586874214,0.33091499578067624,52
bunny,original,5,3,0.3,0.6,-0.08606910962338057,-0.026009803214508076,-0.15391096993241166,0.5832726193439154,0.004444611385919068,5.068119448706082e-06,2.0542212594565377,0.5426820586874214,0.33091499578067624,53
bunny,original,6,3,0.3,0.6,-0.10534514650382908,-0.007584899168301074,-0.12672922400533532,0.4986980767309079,0.007106226408926501,1.6055036410723982e-05,2.3104659449151383,0.6676264782358146,0.24407677060219,54
bunny,original,7,3,0.3,0.6,-0.14074254035818456,0.15934876826406405,-0.14154824426811752,0.44639454325510053,0.005510955818028722,1.2039139563951593e-05,1.5441111617550063,0.888080675410783,0.03622060484787567,55
bunny,original,8,3,0.3,0.6,0.1102337860523874,0.048892977685448674,-0.1279717846314128,0.5383514126591858,0.005912785477003432,1.4314136549425635e-05,1.3632352624249902,0.9300219402194235,0.003274076969360921,56
bunny,original,9,3,0.3,0.6,-0.1844164756496007,0.16503238433269554,-0.0313744721224036,0.42054286897951754,0.005497995500446877,1.1488895229545877e-05,1.6222183364876175,0.8457837309662167,0.011959615686948291,57
bunny,original,10,3,0.3,0.6,-0.09858328424201393,0.20508580806315438,-0.19439085368302866,0.5620359299637313,0.006367300535259237,1.580412486273184e-05,1.6103125505017823,0.8675724494729002,0.07784376882373616,58
bunny,original,11,3,0.3,0.6,-0.07415618352260298,-0.05361108472904688,-0.06738645862335596,0.4057403155049417,0.007106226408926501,1.6055036410723982e-05,2.3104659449151383,0.6676264782358146,0.24407677060219,59
bunny,original,12,3,0.3,0.6,0.12144575398062299,0.16203917968754897,-0.010050369301839557,0.3984379960369076,0.004524204354756368,6.709195790589429e-06,1.7762870761281253,0.7134097901938978,0.0010001667476582006,60
bunny,original,13,3,0.3,0.6,-0.14570659821417703,0.014950021303872879,-0.03263397419631689,0.33289070063870685,0.005739426989453782,1.3497869240749735e-05,1.3945155894711079,0.9296196146782888,0.1694496665477148,61
