mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,0,0.175492898,0.508770585,0.363037527,1.04730105,9.99999975e-05,4.99999987e-05,1.5131681,1.47717106,0.0359970331,0.54939574,0.465867043,0.429870009,0.0325748362,0.0329453051,1.08658683,1.11144245,232.449219,250.209961,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,1,-0.58936739,1.04223657,-0.397771597,0.05509758,9.99999975e-05,4.99999987e-05,0.0331632309,0.0471237339,0.013960503,0.539240539,0.0219343491,0.00797384605,0.0127055813,0.0131826112,0.165306151,0.177951992,42.8261719,49.2275391,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,2,-0.509847581,-0.204413399,0.943444848,0.229183853,9.99999975e-05,4.99999987e-05,0.142722592,0.1852777,0.0425551087,0.98348546,0.0864612609,0.0439061522,0.0218221955,0.0214464907,0.487637252,0.470990777,131.53125,137.841797,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,3,0.291887581,0.18905288,0.999933839,1.4808743,9.99999975e-05,4.99999987e-05,1.61929238,1.65652156,0.0372291803,1.41414845,0.138418078,0.175647259,0.0142141711,0.0121110464,0.206891701,0.150197715,104.992188,110.545898,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,4,0.699681878,-0.629527569,-0.101833299,-0.0316789895,9.99999975e-05,4.99999987e-05,0.0132937003,-0.0338026583,0.0470963567,0.765700936,0.044972688,0.00212366879,0.0311844777,0.0303220339,0.995810926,0.941491902,122.677734,122.213867,1024,1024,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,5,0.470923036,0.758192837,-0.622084081,0.607031763,9.99999975e-05,4.99999987e-05,0.673791766,0.66309464,0.0106971264,0.203486055,0.0667600036,0.0560628772,0.0267790444,0.0257892907,0.734328091,0.681049585,120.763672,137.426758,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,6,-0.414600581,-0.697184265,-0.281832814,-1.39361763,9.99999975e-05,4.99999987e-05,-1.54420197,-1.62964904,0.085447073,1.62307894,0.15058434,0.236031413,0.0276485812,0.0249954686,0.782790661,0.639768004,149.699219,158.075195,1024,1024,1,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,7,-0.162503451,0.0351070613,0.324985236,0.197588846,9.99999975e-05,4.99999987e-05,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,8,0.645824194,-0.539584637,-0.119691521,-0.0134519637,9.99999975e-05,4.99999987e-05,-0.0125796916,0.0478148535,0.0603945442,0.909050345,0.000872272067,0.0612668172,0.0331470668,0.0332888961,1.12509751,1.13474631,139.186523,157.501953,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,9,0.491171867,-0.434042037,0.53090626,0.58803606,9.99999975e-05,4.99999987e-05,0.791740239,0.701696038,0.0900442004,1.35426366,0.203704178,0.113659978,0.032945279,0.0335431322,1.11144078,1.15214515,242.727539,281.509766,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,10,-0.207137704,0.350952983,-0.801123381,-0.657308102,9.99999975e-05,4.99999987e-05,-0.848155916,-0.863783121,0.0156272054,0.306660146,0.190847814,0.206475019,0.0252659824,0.025692381,0.653690696,0.675940812,172.324219,188.59668,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,11,0.0418608338,0.0996609107,0.0811071023,0.222628862,9.99999975e-05,4.99999987e-05,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,12,-0.40293169,0.699116826,0.181875929,0.47806108,9.99999975e-05,4.99999987e-05,0.47658357,0.537923336,0.0613397658,0.889497995,0.00147750974,0.0598622561,0.0350406654,0.0339183211,1.25731671,1.17806339,164.920898,192.599609,1024,1024,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,13,0.689719439,0.631762326,-0.439312696,0.882169008,9.99999975e-05,4.99999987e-05,0.97988224,0.8978706,0.0820116401,1.52609694,0.097713232,0.015701592,0.0261967871,0.027541684,0.702742159,0.776749372,106.338867,116.926758,1024,1024,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,14,-0.407758594,0.0876876563,-0.716126919,-1.0361979,9.99999975e-05,4.99999987e-05,-1.26395178,-1.27460384,0.0106520653,0.190851614,0.227753878,0.238405943,0.0277860686,0.0280262697,0.790595174,0.804323137,140.148438,157.326172,1024,1024,0,0,1
