mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,52,-0.0704755336,-0.106104508,-0.0636035502,-0.240183592,9.99999975e-06,4.99999987e-06,-0.289052516,-0.18605572,0.102996796,1.78616917,0.0488689244,0.054127872,0.025189152,0.0324733667,0.0406075791,0.067489244,64.828125,71.890625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,53,-0.0860691071,-0.0260098036,-0.153910965,-0.26598987,9.99999975e-06,4.99999987e-06,-0.262813956,-0.297780335,0.0349663794,0.864311695,0.00317591429,0.0317904651,0.0259809438,0.0144738089,0.0432006046,0.0134074334,35.546875,50.125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,54,-0.105345145,-0.0075848992,-0.12672922,-0.239659265,9.99999975e-06,4.99999987e-06,-0.289531171,-0.217904791,0.0716263801,1.50408554,0.0498719066,0.0217544734,0.0192997344,0.0283204783,0.0238387026,0.0513311662,65.734375,53.875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,55,-0.14074254,0.159348771,-0.141548246,-0.122942016,9.99999975e-06,4.99999987e-06,-0.124059595,-0.120993443,0.00306615233,0.100377373,0.00111757964,0.0019485727,0.0139319105,0.01661334,0.0124222813,0.017664196,44.171875,52,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,56,0.110233784,0.0488929786,-0.127971783,0.0311549753,9.99999975e-06,4.99999987e-06,0.0136196129,0.0690556243,0.0554360114,1.21388137,0.0175353624,0.037900649,0.0253636409,0.020303756,0.041172117,0.0263835192,70.328125,84.703125,64,64,0,1,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,57,-0.184416473,0.165032387,-0.0313744731,-0.0507585593,9.99999975e-06,4.99999987e-06,-0.0401076972,-0.0367742553,0.00333344191,0.12417233,0.010650862,0.0139843039,0.0134681417,0.0133761456,0.0116090132,0.0114509612,53.28125,48.46875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,58,-0.098583281,0.205085814,-0.194390848,-0.0878883153,9.99999975e-06,4.99999987e-06,-0.0861263722,-0.0899257958,0.00379942358,0.237961277,0.0017619431,0.00203748047,0.00980592612,0.00615963573,0.0061539961,0.0024282313,40.5,28.671875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,59,-0.07415618,-0.0536110848,-0.0673864558,-0.195153713,9.99999975e-06,4.99999987e-06,-0.197259784,-0.171413466,0.0258463174,0.481810421,0.00210607052,0.0237402469,0.0253582019,0.0282849669,0.0411544554,0.0512025207,73.34375,117.515625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,60,0.121445753,0.162039176,-0.0100503694,0.273434579,9.99999975e-06,4.99999987e-06,0.24568817,0.313504606,0.0678164363,1.72512817,0.0277464092,0.0400700271,0.0216545705,0.0176553857,0.0300109051,0.0199496076,73.375,45.71875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,61,-0.145706594,0.0149500212,-0.0326339751,-0.163390547,9.99999975e-06,4.99999987e-06,-0.137021601,-0.185264796,0.0482431948,0.924327672,0.0263689458,0.021874249,0.0264032148,0.0257885288,0.0446163043,0.0425630882,127.4375,107.125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,62,-0.141932428,0.166164324,0.16737175,0.191603646,9.99999975e-06,4.99999987e-06,0.203613237,0.194994673,0.00861856341,0.322965682,0.0120095909,0.00339102745,0.0147743309,0.0119103631,0.0139699746,0.00907883234,33.3125,33.578125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,63,0.165859744,-0.00243314472,-0.0700037852,0.0934228078,9.99999975e-06,4.99999987e-06,0.0841770247,0.0571664274,0.0270105973,0.601504922,0.00924578309,0.0362563804,0.0237305705,0.0211734604,0.0360409617,0.0286921896,60.96875,62.3125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,64,-0.0569132529,0.0861814246,-0.167091504,-0.137823328,9.99999975e-06,4.99999987e-06,-0.142553821,-0.186917439,0.0443636179,1.28742337,0.00473049283,0.0490941107,0.0189394783,0.0155187538,0.0229570456,0.0154132294,53.359375,44.84375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,65,0.113617323,0.168857753,-0.0109422961,0.271532774,9.99999975e-06,4.99999987e-06,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,66,0.116341144,-0.0378473513,0.0527696274,0.13126342,9.99999975e-06,4.99999987e-06,0.102388375,0.147891581,0.0455032066,0.785414815,0.0288750455,0.0166281611,0.0304225292,0.0275117271,0.0592339374,0.0484412871,83.265625,83.125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,67,-0.206184343,0.061395511,0.0673949867,-0.0773938447,9.99999975e-06,4.99999987e-06,-0.0880508423,-0.0697020665,0.0183487758,0.769032001,0.0106569976,0.00769177824,0.00846778695,0.0153907854,0.00458901795,0.0151600819,29.4375,55.828125,64,64,0,0,1
