mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,0,0.175492898,0.508770585,0.363037527,1.04730105,0.00999999978,0.00499999989,2.49458861,1.9934901,0.501098514,7.46905184,1.44728756,0.946189046,0.0359144434,0.0311745368,1.32080352,0.995176136,15.6875,27.9628906,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,1,-0.58936739,1.04223657,-0.397771597,0.05509758,0.00999999978,0.00499999989,0.0210219584,0.0248689596,0.00384700112,0.12030714,0.0340756215,0.0302286204,0.0168508422,0.0151246563,0.290765703,0.23424536,10.1132812,12.7490234,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,2,-0.509847581,-0.204413399,0.943444848,0.229183853,0.00999999978,0.00499999989,-0.0173371546,0.108802833,0.126139984,2.63350248,0.246521011,0.12038102,0.0253623091,0.0225348715,0.658684611,0.520008087,11.7568359,17.0126953,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,3,0.291887581,0.18905288,0.999933839,1.4808743,0.00999999978,0.00499999989,2.1563251,1.88088071,0.275444388,5.67174196,0.675450802,0.400006413,0.031640429,0.0169229079,1.02514362,0.293258071,10.8769531,14.9814453,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,4,0.699681878,-0.629527569,-0.101833299,-0.0316789895,0.00999999978,0.00499999989,0.0725590587,0.0321500897,0.0404089689,0.610384285,0.104238048,0.0638290793,0.0345771983,0.0316243097,1.22427678,1.02409935,14.2402344,20.2880859,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,5,0.470923036,0.758192837,-0.622084081,0.607031763,0.00999999978,0.00499999989,0.826664507,0.705535948,0.121128559,2.15769625,0.219632745,0.0985041857,0.0303709134,0.0257659964,0.944529772,0.679819882,13.5097656,19.3857422,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,6,-0.414600581,-0.697184265,-0.281832814,-1.39361763,0.00999999978,0.00499999989,-2.24142981,-1.92812169,0.31330812,5.60356236,0.847812176,0.534504056,0.0317259841,0.0241853278,1.03069496,0.598968387,16.2675781,23.6572266,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,7,-0.162503451,0.0351070613,0.324985236,0.197588846,0.00999999978,0.00499999989,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,8,0.645824194,-0.539584637,-0.119691521,-0.0134519637,0.00999999978,0.00499999989,0.216704354,0.056486547,0.160217807,2.07618833,0.230156317,0.0699385107,0.0401762426,0.036991965,1.6528697,1.40124738,15.4833984,23.5957031,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,9,0.491171867,-0.434042037,0.53090626,0.58803606,0.00999999978,0.00499999989,1.13388944,0.936542273,0.197347164,2.60772657,0.545853376,0.348506212,0.0409955792,0.0346812755,1.7209729,1.23165786,14.2324219,26.6855469,1024,1024,0,0,1
