mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,0,0.175492898,0.508770585,0.363037527,1.04730105,0.00999999978,0.00499999989,2.48387361,1.9735781,0.51029551,4.08323956,1.43657255,0.926277041,0.070463948,0.0545082428,1.271083,0.760613978,16.4960938,28.328125,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,1,-0.58936739,1.04223657,-0.397771597,0.05509758,0.00999999978,0.00499999989,-0.00223971228,-0.019881973,0.0176422615,0.222538397,0.0573372915,0.0749795511,0.0413356274,0.0379407592,0.437410355,0.368512332,9.48046875,12.6757812,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,2,-0.509847581,-0.204413399,0.943444848,0.229183853,0.00999999978,0.00499999989,0.0650554672,0.14092584,0.0758703724,0.840950608,0.164128393,0.0882580131,0.0511193871,0.0390993878,0.668977141,0.391363084,11.8632812,16.765625,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,3,0.291887581,0.18905288,0.999933839,1.4808743,0.00999999978,0.00499999989,2.1899209,1.84760046,0.342320442,3.51411653,0.709046602,0.36672616,0.0643796399,0.0330323093,1.06105292,0.279330164,11.2773438,13.7539062,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,4,0.699681878,-0.629527569,-0.101833299,-0.0316789895,0.00999999978,0.00499999989,0.204947516,-0.0159690622,0.220916584,1.64012229,0.236626506,0.0157099273,0.0740024,0.0606917813,1.40194702,0.942974091,14.8007812,21.3515625,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,5,0.470923036,0.758192837,-0.622084081,0.607031763,0.00999999978,0.00499999989,0.698405623,0.788442075,0.0900364518,0.772472441,0.0913738608,0.181410313,0.0615730882,0.0549821071,0.970558763,0.773896217,12.9570312,19.6796875,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,6,-0.414600581,-0.697184265,-0.281832814,-1.39361763,0.00999999978,0.00499999989,-2.24151731,-1.93665457,0.304862738,2.58624792,0.847899675,0.543036938,0.0674409941,0.0504364036,1.16436172,0.65122062,16.4492188,23.3085938,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,7,-0.162503451,0.0351070613,0.324985236,0.197588846,0.00999999978,0.00499999989,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,8,0.645824194,-0.539584637,-0.119691521,-0.0134519637,0.00999999978,0.00499999989,0.198635861,0.158592731,0.0400431305,0.267917395,0.212087825,0.172044694,0.0774734989,0.0719862357,1.5365485,1.32659674,15.140625,23.8710938,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,9,0.491171867,-0.434042037,0.53090626,0.58803606,0.00999999978,0.00499999989,1.14244318,0.988459587,0.153983593,1.02610886,0.55440712,0.400423527,0.079558365,0.0705061853,1.62036073,1.27260721,14.2773438,27.1015625,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,10,-0.207137704,0.350952983,-0.801123381,-0.657308102,0.00999999978,0.00499999989,-1.36486077,-1.14732075,0.217540026,2.08163381,0.707552671,0.490012646,0.0635790452,0.0409244262,1.03482747,0.428751051,13.1484375,21.1367188,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,11,0.0418608338,0.0996609107,0.0811071023,0.222628862,0.00999999978,0.00499999989,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,12,-0.40293169,0.699116826,0.181875929,0.47806108,0.00999999978,0.00499999989,0.855698764,0.678843617,0.176855147,1.14171779,0.377637684,0.200782537,0.0793509558,0.0755507201,1.61192286,1.46122539,14.34375,23.1523438,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,13,0.689719439,0.631762326,-0.439312696,0.882169008,0.00999999978,0.00499999989,1.17629468,1.14494014,0.0313545465,0.268407285,0.294125676,0.26277113,0.0632991716,0.0535168797,1.02573705,0.733198464,14.4648438,19.7148438,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,14,-0.407758594,0.0876876563,-0.716126919,-1.0361979,0.00999999978,0.00499999989,-1.87485957,-1.70745766,0.16740191,1.37231946,0.838661671,0.671259761,0.0680711791,0.0539124645,1.18622339,0.744077742,16.21875,24.6914062,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,15,-0.0897094011,1.04607987,-0.0655632839,0.890807211,0.00999999978,0.00499999989,1.14845812,1.03963935,0.108818769,1.47558618,0.257650912,0.148832142,0.041798193,0.0319469385,0.447254747,0.261275321,9.234375,13.859375,256,256,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61577,16,0.413705796,0.254681438,-0.78131032,-0.112923086,0.00999999978,0.00499999989,-0.292966485,-0.14942801,0.143538475,1.02261233,0.180043399,0.0365049243,0.0808440745,0.0595194437,1.67315567,0.906896353,15.2382812,21.1914062,256,256,0,0,1
