mesh,boundary,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,0,0.175492898,0.508770585,0.363037527,1.63631237,1.04730105,0.589011312,0.10105671,0.653597295,64,73.484375,0,0.00100000005,64,4703,4254,449,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,1,-0.58936739,1.04223657,-0.397771597,0.0358888693,0.05509758,0.0192087106,0.046373792,0.137633845,64,23.578125,0,0.00100000005,64,1509,1345,164,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,2,-0.509847581,-0.204413399,0.943444848,0.098614268,0.229183853,0.130569577,0.0918008387,0.539353192,64,35.265625,0,0.00100000005,64,2257,1969,288,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,3,0.291887581,0.18905288,0.999933839,1.6883322,1.4808743,0.2074579,0.0395714864,0.10021776,64,35.46875,0,0.00100000005,64,2270,2003,267,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,4,0.699681878,-0.629527569,-0.101833299,-0.0755949467,-0.0316789895,0.0439159572,0.121857733,0.950355649,64,55.484375,0,0.00100000005,64,3551,3200,351,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,5,0.470923036,0.758192837,-0.622084081,0.673215389,0.607031763,0.0661836267,0.101662181,0.661452711,64,38.328125,0,0.00100000005,64,2453,2186,267,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,6,-0.414600581,-0.697184265,-0.281832814,-1.67573512,-1.39361763,0.282117486,0.0865880176,0.479838997,64,54.421875,0,0.00100000005,64,3483,3102,381,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,7,-0.162503451,0.0351070613,0.324985236,,,,,,,,,0.00100000005,64,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,8,0.645824194,-0.539584637,-0.119691521,-0.125848114,-0.0134519637,0.112396151,0.154996693,1.53753436,64,67.25,0,0.00100000005,64,4304,3856,448,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,54385,9,0.491171867,-0.434042037,0.53090626,0.787791908,0.58803606,0.199755847,0.129056633,1.06595922,64,62.578125,0,0.00100000005,64,4005,3614,391,1
