mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,0,0.175492898,0.508770585,0.363037527,1.04730105,0.00999999978,0.00499999989,2.53994632,1.77474463,0.765201688,2.64674807,1.49264526,0.727443576,0.134408265,0.154700845,1.15619731,1.53167045,15.75,29.0625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,1,-0.58936739,1.04223657,-0.397771597,0.05509758,0.00999999978,0.00499999989,0.0311128274,0.0478739776,0.0167611502,0.14618209,0.0239847526,0.00722360238,0.0528626293,0.0617957711,0.178845286,0.244397908,10.46875,13.953125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,2,-0.509847581,-0.204413399,0.943444848,0.229183853,0.00999999978,0.00499999989,-0.07402426,-0.124022491,0.0499982312,0.243231535,0.303208113,0.353206336,0.0987220556,0.106835127,0.623746812,0.730479658,11.234375,19.765625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,3,0.291887581,0.18905288,0.999933839,1.4808743,0.00999999978,0.00499999989,1.99653757,1.85317063,0.143366933,0.770478606,0.515663266,0.372296333,0.122102164,0.0639719963,0.954172134,0.261914611,9.421875,16.34375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,4,0.699681878,-0.629527569,-0.101833299,-0.0316789895,0.00999999978,0.00499999989,0.280338794,0.212331682,0.0680071115,0.27213642,0.312017798,0.244010672,0.130333006,0.119566798,1.08714843,0.914958,13.296875,20.015625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,5,0.470923036,0.758192837,-0.622084081,0.607031763,0.00999999978,0.00499999989,0.604063809,0.647379935,0.0433161259,0.168509319,0.00296795368,0.0403481722,0.140723392,0.116330363,1.26739669,0.866096258,13.734375,21.796875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,6,-0.414600581,-0.697184265,-0.281832814,-1.39361763,0.00999999978,0.00499999989,-2.05747151,-1.89125049,0.166221023,0.951294184,0.663853884,0.497632861,0.099990204,0.0747402608,0.639874637,0.357510805,17.78125,23.234375,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,7,-0.162503451,0.0351070613,0.324985236,0.197588846,0.00999999978,0.00499999989,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,8,0.645824194,-0.539584637,-0.119691521,-0.0134519637,0.00999999978,0.00499999989,0.356275618,-0.0323564522,0.388632059,1.14181495,0.369727582,0.0189044885,0.178420275,0.161942169,2.03736281,1.67841697,14.890625,23.296875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,9,0.491171867,-0.434042037,0.53090626,0.58803606,0.00999999978,0.00499999989,1.15937197,0.930431128,0.228940845,0.793859899,0.571335912,0.342395067,0.160497367,0.127891093,1.64860201,1.04679239,14.390625,24.265625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,61385,10,-0.207137704,0.350952983,-0.801123381,-0.657308102,0.00999999978,0.00499999989,-1.30676305,-1.02542508,0.281337976,1.24346113,0.649454951,0.368116975,0.143469244,0.082783699,1.31733906,0.438600987,15.046875,21.21875,64,64,0,0,1
