mesh,boundary,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,diverged,epsilon,walks_per_point,star_queries,fast_only_star_queries,exact_star_queries,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,0,0.175492898,0.508770585,0.363037527,1.42875528,1.04730105,0.381454229,0.0325483121,1.08481801,1024,239.699219,1,9.99999975e-05,1024,245452,224719,20733,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,1,-0.58936739,1.04223657,-0.397771597,0.0373515189,0.05509758,0.0177460611,0.0134887807,0.186313942,1024,42.4511719,0,9.99999975e-05,1024,43470,39873,3597,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,2,-0.509847581,-0.204413399,0.943444848,0.167443171,0.229183853,0.0617406815,0.0210797191,0.455019087,1024,109.519531,0,9.99999975e-05,1024,112148,102023,10125,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,3,0.291887581,0.18905288,0.999933839,1.63142574,1.4808743,0.150551438,0.0132730547,0.18040216,1024,97.4521484,0,9.99999975e-05,1024,99791,90886,8905,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,4,0.699681878,-0.629527569,-0.101833299,-0.0445486382,-0.0316789895,0.0128696486,0.0304521862,0.949591696,1024,108.775391,0,9.99999975e-05,1024,111386,102301,9085,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,5,0.470923036,0.758192837,-0.622084081,0.640701652,0.607031763,0.033669889,0.0254414417,0.662801325,1024,123.155273,0,9.99999975e-05,1024,126111,115446,10665,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,6,-0.414600581,-0.697184265,-0.281832814,-1.61396611,-1.39361763,0.220348477,0.0252287965,0.651768029,1024,146.563477,0,9.99999975e-05,1024,150081,137709,12372,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,7,-0.162503451,0.0351070613,0.324985236,,,,,,,,,9.99999975e-05,1024,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,8,0.645824194,-0.539584637,-0.119691521,-0.00585426111,-0.0134519637,0.00759770256,0.0337186567,1.16423464,1024,132.398438,1,9.99999975e-05,1024,135576,124383,11193,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,9,0.491171867,-0.434042037,0.53090626,0.748690248,0.58803606,0.160654187,0.0354272537,1.28521252,1024,249.548828,1,9.99999975e-05,1024,255538,233689,21849,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,10,-0.207137704,0.350952983,-0.801123381,-0.84997052,-0.657308102,0.192662418,0.024251258,0.602238476,1024,167.401367,0,9.99999975e-05,1024,171419,156997,14422,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,11,0.0418608338,0.0996609107,0.0811071023,,,,,,,,,9.99999975e-05,1024,,,0
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,12,-0.40293169,0.699116826,0.181875929,0.539661586,0.47806108,0.0616005063,0.0349651687,1.25190461,1024,165.492188,1,9.99999975e-05,1024,169464,155149,14315,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,13,0.689719439,0.631762326,-0.439312696,0.943521857,0.882169008,0.061352849,0.0267389342,0.732129872,1024,120.248047,0,9.99999975e-05,1024,123134,112772,10362,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,14,-0.407758594,0.0876876563,-0.716126919,-1.25972736,-1.0361979,0.223529458,0.0277397223,0.787960052,1024,144.610352,0,9.99999975e-05,1024,148081,136189,11892,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,15,-0.0897094011,1.04607987,-0.0655632839,0.947786689,0.890807211,0.0569794774,0.0129926475,0.172860309,1024,75.6191406,1,9.99999975e-05,1024,77434,70591,6843,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,16,0.413705796,0.254681438,-0.78131032,-0.122574739,-0.112923086,0.00965165347,0.0302104633,0.934576273,1024,127.833008,1,9.99999975e-05,1024,130901,120289,10612,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,17,-0.594999969,0.968380809,-0.512617588,-0.175109476,-0.139236748,0.0358727276,0.0182405598,0.340703219,1024,60.9873047,0,9.99999975e-05,1024,62451,57340,5111,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,18,-0.497109383,-0.896579683,-0.0959504545,-1.63029242,-1.48963952,0.140652895,0.0185510684,0.352401525,1024,88.1660156,0,9.99999975e-05,1024,90282,82792,7490,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,19,-0.753643274,-0.246430308,0.0830651522,-1.17677784,-0.9170084,0.25976944,0.0270243213,0.747841537,1024,139.441406,1,9.99999975e-05,1024,142788,131029,11759,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,55345,20,-0.623939931,0.601983845,-0.225569442,-0.364184469,-0.247525528,0.116658941,0.0313716866,1.00780308,1024,157.541992,0,9.99999975e-05,1024,161323,147970,13353,1
