mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,17,-0.594999969,0.968380809,-0.512617588,-0.139236748,9.99999975e-06,4.99999987e-06,-0.161334395,-0.180205837,0.0188714415,0.53668803,0.0220976472,0.0409690887,0.0176019929,0.0175597873,0.317266107,0.315746456,74.9521484,80.6757812,1024,1024,0,0,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,18,-0.497109383,-0.896579683,-0.0959504545,-1.48963952,9.99999975e-06,4.99999987e-06,-1.64280033,-1.56417179,0.07862854,2.05121684,0.15316081,0.0745322704,0.0177569687,0.0205746666,0.322877407,0.433476508,122.070312,141.393555,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,19,-0.753643274,-0.246430308,0.0830651522,-0.9170084,9.99999975e-06,4.99999987e-06,-1.11119306,-1.12557042,0.0143773556,0.247093379,0.194184661,0.208562016,0.0297344606,0.0284504611,0.90535748,0.828855038,198.720703,195.177734,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,20,-0.623939931,0.601983845,-0.225569442,-0.247525528,9.99999975e-06,4.99999987e-06,-0.364180416,-0.369779587,0.00559917092,0.0860911831,0.116654888,0.122254059,0.0327306092,0.0323060751,1.0970037,1.06873083,206.394531,214.206055,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,21,-0.320148736,0.0194316097,-0.920338511,-1.22105563,9.99999975e-06,4.99999987e-06,-1.32759821,-1.30769014,0.0199080706,0.460665673,0.106542587,0.0866345167,0.0200535655,0.0231613107,0.411796987,0.549320996,107.46582,129.351562,1024,1024,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,22,-0.577782154,-0.295465291,0.937366426,0.0641189814,9.99999975e-06,4.99999987e-06,-0.0386170894,0.0086510824,0.0472681709,1.12146187,0.102736071,0.0554678999,0.0211199354,0.0210277773,0.45675689,0.452779412,131.070312,170.725586,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,23,0.325978607,1.08102155,-0.305079907,1.10192025,9.99999975e-06,4.99999987e-06,1.11228848,1.12476277,0.0124742985,0.86501646,0.010368228,0.0228425264,0.00770962983,0.00671024946,0.0608649105,0.0461081043,48.2753906,58.6142578,1024,1024,0,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,24,-0.0302099232,-0.325094938,-0.904855967,-1.2601608,9.99999975e-06,4.99999987e-06,-1.35644448,-1.32128918,0.0351552963,0.7680583,0.0962836742,0.0611283779,0.0213048104,0.024465844,0.464788407,0.612943411,97.5927734,121.686523,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,25,-1.00044477,0.364955246,0.260165095,-0.375324428,9.99999975e-06,4.99999987e-06,-0.400984228,-0.392230392,0.00875383615,0.248363465,0.0256597996,0.0169059634,0.0181916095,0.0170534626,0.338877082,0.297800273,59.5332031,76.1396484,1024,1024,1,1,1
C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,neumann,62345,26,0.484477401,1.01049316,-0.838338733,0.656631827,9.99999975e-06,4.99999987e-06,0.687752485,0.646053195,0.0416992903,1.65619612,0.0311206579,0.0105786324,0.0128003722,0.0123763764,0.167781919,0.156850889,47.8867188,52.3632812,1024,1024,0,0,1
