mesh,boundary,seed,point_index,x,y,z,exact,epsilon,epsilon_half,value_epsilon,value_epsilon_half,bias_indicator,normalized_bias,abs_error_epsilon,abs_error_epsilon_half,std_error_epsilon,std_error_epsilon_half,sample_variance_epsilon,sample_variance_epsilon_half,mean_steps_epsilon,mean_steps_epsilon_half,samples_epsilon,samples_epsilon_half,diverged_epsilon,diverged_epsilon_half,is_valid
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,0,-0.067084685,0.117976248,0.0773394257,0.128230989,0.00999999978,0.00499999989,0.46725291,0.326958448,0.140294462,0.8120386,0.339021921,0.198727459,0.100930147,0.0718370825,0.651961267,0.330276251,8.359375,12.890625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,1,-0.0922575668,0.159452081,0.0443730466,0.111567557,0.00999999978,0.00499999989,0.441644907,0.37721011,0.0644347966,0.465769559,0.33007735,0.265642554,0.083644107,0.0546954013,0.447765529,0.191461563,7.734375,9.796875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,2,-0.0933401659,0.150574431,0.0668218732,0.124056138,0.00999999978,0.00499999989,0.461929321,0.200713828,0.261215508,1.63124466,0.337873191,0.0766576901,0.0999231786,0.0602084622,0.639017105,0.232003763,8.90625,11.15625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,3,-0.0185285453,0.106607415,-0.0449450836,0.0431337878,0.00999999978,0.00499999989,-0.604976714,-0.15327014,0.451706588,3.16553521,0.648110509,0.196403921,0.0798050612,0.0628891215,0.407606304,0.253122658,6.453125,11.28125,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,4,-0.0976603329,0.0314677618,0.0159318298,-0.0502607375,0.00999999978,0.00499999989,-0.595909119,-0.481407881,0.114501238,0.687423885,0.545648396,0.431147158,0.108012922,0.0585517734,0.746674657,0.219411865,9.765625,12.1875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,5,0.0403933711,0.104567476,0.0474552549,0.192416102,0.00999999978,0.00499999989,1.61834514,1.12335312,0.494992018,2.70074606,1.42592907,0.930937052,0.120448574,0.0628301725,0.928502977,0.252648324,7.953125,9.15625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,6,0.0592114404,0.0807502791,-0.0263680369,0.113593683,0.00999999978,0.00499999989,0.298965633,0.191011027,0.107954606,0.647531033,0.18537195,0.0774173439,0.104181185,0.0625350848,0.694638014,0.250280797,7.671875,10.765625,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,7,0.00316647743,0.113946065,0.0566410087,0.173753545,0.00999999978,0.00499999989,1.55743396,0.868618965,0.688814998,4.78192282,1.38368046,0.694865406,0.093782872,0.0502617285,0.562894523,0.161679447,6.265625,8.6875,64,64,0,0,1
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,8,-0.0144315343,0.104213901,0.000829365861,0.0906117335,0.00999999978,0.00499999989,,,,,,,,,,,,,,,,,0
C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,neumann,19409,9,0.0340803266,0.0906737596,0.0716325417,0.196386635,0.00999999978,0.00499999989,,,,,,,,,,,,,,,,,0
