method,queries,valid_points,epsilon,pilot_samples,min_samples,max_samples,target_std_error,rmse,mae,max_abs_error,mean_std_error,mean_sample_variance,mean_predicted_samples,mean_samples_used,mean_steps,runtime_seconds
fixed_256,500,461,9.99999974738e-05,32,32,1024,0,0.0276207130843,0.0214022403652,0.12565946579,0.0280815790313,0.236310958481,256,256,25.7799281453,2.4104025
fixed_512,500,461,9.99999974738e-05,32,32,1024,0,0.0209917733666,0.0154527145642,0.0821678638458,0.0199402595234,0.237923366703,512,512,25.8099240781,4.7215249
fixed_1024,500,461,9.99999974738e-05,32,32,1024,0,0.015184966441,0.0114503829172,0.0531491041183,0.01414373582,0.238765884477,1024,1024,25.8127880965,7.9639521
variance_adaptive_tau_0.003,500,461,9.99999974738e-05,32,32,1024,0.00300000002608,0.0152344788332,0.0115850565737,0.0531491041183,0.0142037460545,0.238598059352,990.472885033,990.472885033,25.7855735249,6.5984198
variance_adaptive_tau_0.005,500,461,9.99999974738e-05,32,32,1024,0.00499999988824,0.0153803663868,0.0117819694794,0.0531491041183,0.0144191172994,0.238428558133,954.199566161,954.199566161,25.7754818116,6.3745162
variance_adaptive_tau_0.008,500,461,9.99999974738e-05,32,32,1024,0.00800000037998,0.0158080213452,0.0123038326699,0.0531491041183,0.0148718709937,0.237977430551,899.57483731,899.57483731,25.755635214,6.1073267
