point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid
41,-0.10297513,0.34159863,-1.05679107,-0.818167567,-0.819880784,0.0017132163,0.0081712883,0.0683724359,1024,1024,22.6005859,1
42,0.846607447,-0.142418563,0.562508345,1.26669717,1.25856102,0.00813615322,0.0188275669,0.362984717,1024,1024,27.0576172,1
43,-1.01820946,-0.206204355,-0.656128824,-1.88054276,-1.88639736,0.00585460663,0.0125723425,0.161857322,1024,1024,25.7998047,1
44,0.0150460005,-0.173502445,1.00888026,0.850423813,0.849458635,0.000965178013,0.00587484101,0.0122868968,356,356,21.5870781,1
45,-0.16012758,0.442463398,-0.872182012,-0.589846194,-0.640229285,0.050383091,0.0159758125,0.261352003,1024,1024,27.2929688,1
46,1.08238113,0.511789322,0.0756047964,1.66977525,1.66037798,0.0093972683,0.00911214016,0.0485731959,585,585,21.2564106,1
47,0.75739646,-1.04855323,-0.943062305,-1.23421907,-1.24315667,0.00893759727,0.00621607294,0.0395669118,1024,1024,22.7783203,1
48,-0.866579175,0.59468019,0.692920208,0.421021223,0.441688329,0.0206671059,0.0177587681,0.322942823,1024,1024,26.4326172,1
49,-0.655264676,-0.443611026,-1.00957847,-2.10845423,-2.12028074,0.0118265152,0.0120249288,0.148069292,1024,1024,25.5537109,1
50,0.325544357,0.242719054,-0.378585398,0.189678013,0.187679365,0.00199864805,0.0225556362,0.0635945871,125,125,19.1200008,1
51,-0.519046962,-0.672043443,-0.487372875,-1.67846322,-1.66219962,0.0162636042,0.0239832737,0.589002132,1024,1024,27.8173828,1
52,0.992900014,0.906671643,-0.122130215,1.7774415,1.76169121,0.015750289,0.0121252164,0.150549367,1024,1024,25.5195312,1
53,-0.867051661,-0.329931617,0.138741851,-1.05824149,-1.0846802,0.0264387131,0.0186815001,0.35737443,1024,1024,27.9248047,1
54,0.980251431,0.212239146,-0.238408506,0.954082072,0.949534059,0.00454801321,0.0152748143,0.238919631,1024,1024,27.6025391,1
55,0.433049917,0.72072947,0.174784422,1.32856381,1.36348581,0.0349220037,0.0207670946,0.441622794,1024,1024,29.1308594,1
56,-0.227879524,-1.00622797,0.987213254,-0.24689424,-0.250090539,0.00319629908,0.00809792802,0.0671502724,1024,1024,23.9462891,1
57,-0.190932274,-0.150389969,0.375938296,0.0346160531,0,0,0,0,0,0,0,0
58,-0.0715692043,-0.926980257,0.508110642,-0.490438819,-0.491167545,0.000728726387,0.0134859094,0.186234638,1024,1024,27.2324219,1
59,-0.506176949,-1.05934882,-0.917878509,-2.48340416,-2.49058557,0.00718140602,0.0060696681,0.03772505,1024,1024,22.4550781,1
60,-0.232478559,-0.876158655,1.06325376,-0.0453834534,-0.0430488996,0.00233455375,0.00623150123,0.0397635698,1024,1024,22.2236328,1
61,0.753239512,0.287214994,-0.120105684,0.920348823,0.880354643,0.0399941802,0.022856364,0.53495127,1024,1024,29.3457031,1
62,-0.411963165,-0.354800463,-0.834782064,-1.60154569,-1.60558259,0.00403690338,0.021449117,0.471106201,1024,1024,27.9296875,1
63,-0.578649223,0.54527235,0.234926462,0.20154959,0.171362609,0.030186981,0.0234425031,0.562740147,1024,1024,28.2128906,1
64,0.629933119,0.664821148,-0.487328291,0.807425976,0.812107742,0.00468176603,0.0203074031,0.422287971,1024,1024,28.9306641,1
65,-0.421538532,0.635196686,-0.113907814,0.09975034,0.110658117,0.0109077767,0.0128435716,0.1689163,1024,1024,28.0634766,1
66,0.738657355,0.399255872,-0.712447286,0.425465941,0.419221222,0.00624471903,0.0207372457,0.440354139,1024,1024,27.328125,1
67,1.022663,0.820473909,0.319730282,2.16286707,2.1679976,0.0051305294,0.01098576,0.123583406,1024,1024,25.203125,1
68,-0.188488662,-0.187912107,-0.133684635,-0.510085404,0,0,0,0,0,0,0,0
69,0.901160359,-0.197349131,1.02880466,1.73261595,1.74390209,0.0112861395,0.00862417836,0.0761614814,1024,1024,24.5126953,1
70,-0.0572698116,-0.840429187,0.711648226,-0.186050773,-0.200591922,0.0145411491,0.012275937,0.154315412,1024,1024,28.5341797,1
71,-1.01226485,0.646817565,-0.4186638,-0.784111083,-0.800604761,0.0164936781,0.0122770211,0.154342651,1024,1024,25.4072266,1
72,-0.77571857,-0.760782838,-0.687408328,-2.22390985,-2.2389276,0.0150177479,0.018321922,0.343749493,1024,1024,25.7939453,1
73,0.10249877,-0.572935462,-0.895620048,-1.36605668,-1.34358168,0.0224750042,0.0197922792,0.401135921,1024,1024,28.4433594,1
74,0.634854436,1.01147854,-0.590821087,1.05551195,1.05767739,0.00216543674,0.0115836561,0.137401417,1024,1024,25.6474609,1
75,-0.469617188,-0.935829043,-0.788088202,-2.19353437,-2.19906473,0.00553035736,0.0144130774,0.21272248,1024,1024,26.7548828,1
76,0.199203968,0.806002736,-0.0545306206,0.950676084,0.941319704,0.00935637951,0.0129195238,0.170920029,1024,1024,27.4472656,1
77,0.896447659,0.213558674,-0.371085525,0.738920808,0.720948637,0.0179721713,0.0187408123,0.359647304,1024,1024,27.1455078,1
78,-0.622041941,0.50681448,1.06022155,0.944994092,0.947664022,0.00266993046,0.00882824883,0.0798084885,1024,1024,23.5917969,1
79,-0.369769394,-0.0693717003,0.647512197,0.208371103,0.218334407,0.0099633038,0.00584953278,0.035038244,1024,1024,22.3164062,1
80,0.117858887,-0.529471159,-0.324630678,-0.73624295,-0.717241943,0.0190010071,0.0204470512,0.428115904,1024,1024,28.390625,1
81,-0.845874667,-0.529542148,0.146121264,-1.22929549,-1.21816409,0.0111314058,0.0189390033,0.367294312,1024,1024,27.6962891,1
82,0.829162002,-0.0182228088,-0.525398791,0.285540402,0.302547604,0.0170072019,0.0205278676,0.431506753,1024,1024,27.6513672,1
83,0.863352299,-0.459060133,0.347550392,0.751842558,0.770351589,0.0185090303,0.0188734289,0.364755243,1024,1024,27.8125,1
84,-0.3311252,-0.800441384,-0.325486064,-1.45705259,-1.43682086,0.0202317238,0.0197542142,0.399594456,1024,1024,28.9238281,1
85,-0.32943058,-0.031488657,0.316118598,-0.0448006392,0,0,0,0,0,0,0,0
86,0.391236424,0.272602916,-0.878172934,-0.214333594,-0.249201342,0.0348677486,0.0179823544,0.331125855,1024,1024,28.6025391,1
87,-0.562594175,0.304485202,-0.297963381,-0.556072354,-0.531972647,0.0240997076,0.0218229443,0.48767069,1024,1024,29.3447266,1
88,-0.429811299,-0.602280021,0.698633313,-0.333458066,-0.349610358,0.0161522925,0.0153978467,0.242783919,1024,1024,27.2783203,1
89,-0.959112406,-0.727836728,-0.700085521,-2.38703465,-2.38386559,0.00316905975,0.0154691245,0.245036855,1024,1024,25.4228516,1
90,0.00668799877,0.16369462,-0.587603331,-0.417220712,0,0,0,0,0,0,0,0
91,0.884091377,-0.697551131,-0.573260665,-0.386720419,-0.395819545,0.00909912586,0.0179594196,0.330281705,1024,1024,26.7080078,1
92,0.384115338,0.535820365,-0.690861106,0.229074597,0.23989737,0.010822773,0.0180459432,0.333471775,1024,1024,28.3632812,1
93,-0.816471338,0.541779399,-0.508278728,-0.782970667,-0.784211636,0.0012409687,0.0200402588,0.411250681,1024,1024,27.2021484,1
94,0.78224647,0.69055748,0.922920585,2.39572453,2.37602639,0.019698143,0.0161164925,0.265975088,1024,1024,25.6201172,1
95,0.595376134,-0.493843496,0.883086681,0.984619319,0.991930485,0.00731116533,0.0158598535,0.257571787,1024,1024,27.4355469,1
96,-0.940536082,0.40111053,-0.982752562,-1.52217817,-1.52046633,0.0017118454,0.0116306078,0.138517544,1024,1024,24.7607422,1
97,0.890981436,0.54464829,-0.959271073,0.476358652,0.486349404,0.00999075174,0.0131168477,0.176180929,1024,1024,25.9541016,1
98,0.77092433,0.570914984,-0.506151378,0.835687935,0.840931594,0.00524365902,0.0202474259,0.419797212,1024,1024,28.2402344,1
99,-0.067086339,-0.116133928,-0.334689021,-0.517909288,-0.515268922,0.00264036655,0.0165433511,0.280250877,1024,1024,28.8320312,1
100,-0.191685617,-0.905205309,0.156886816,-0.94000411,-0.925599098,0.0144050121,0.0143916849,0.212091491,1024,1024,26.7509766,1
101,1.03859866,-0.866314411,-0.0867226124,0.0855616331,0.0871875882,0.0016259551,0.0100405207,0.103231549,1024,1024,24.2148438,1
102,0.402341843,0.552065372,-0.151088238,0.803318977,0.818509758,0.0151907802,0.0137013709,0.192233041,1024,1024,27.7675781,1
103,-0.783821464,-0.334861457,-0.541103065,-1.65978599,-1.66086566,0.00107967854,0.0218823962,0.490331411,1024,1024,27.6181641,1
104,-0.269147933,0.952900529,-0.279178619,0.404573977,0.41501531,0.0104413331,0.00889856275,0.0785509497,992,992,27.1028233,1
105,0.596592903,0.680840492,-0.262613595,1.01481986,1.00380826,0.0110116005,0.0184611678,0.348994255,1024,1024,30.5527344,1
106,0.519502997,-0.334717214,0.0705082417,0.255294025,0.237990513,0.0173035115,0.0170533713,0.297797084,1024,1024,27.7304688,1
107,0.000598669052,0.945024133,-0.832714796,0.112908006,0.129543766,0.0166357607,0.0123075973,0.155112401,1024,1024,25.8203125,1
108,-1.03239155,0.521700025,-0.34527272,-0.855964243,-0.84800458,0.00795966387,0.0117262909,0.140806034,1024,1024,25.6523438,1
109,-0.191904724,-0.266878188,0.0628353357,-0.395947576,0,0,0,0,0,0,0,0
110,0.355597138,-0.679566622,1.00901783,0.685048342,0.696081281,0.011032939,0.00861813873,0.0760548562,1024,1024,24.7958984,1
111,0.0462473631,0.41838181,0.246277332,0.710906506,0.703849554,0.00705695152,0.01399324,0.200510219,1024,1024,27.5947266,1
112,0.0016297102,0.309828639,0.216846347,0.528304696,0,0,0,0,0,0,0,0
113,-0.190081,0.610364676,-0.63855052,-0.218266845,-0.228245258,0.00997841358,0.0142311621,0.207386598,1024,1024,27.1181641,1
114,-0.242351711,0.622541904,-0.992625594,-0.6124354,-0.616886973,0.0044515729,0.0128631629,0.169432029,1024,1024,25.8974609,1
115,-1.01052785,-0.516132236,0.418649793,-1.10801029,-1.11573863,0.00772833824,0.0131497048,0.177064702,1024,1024,26.4667969,1
116,0.091753602,-0.0237525702,0.913163781,0.981164813,0,0,0,0,0,0,0,0
117,0.304263234,0.71159482,-0.568260431,0.447597623,0.454376161,0.00677853823,0.0151070757,0.23370111,1024,1024,27.8623047,1
118,0.354427457,-1.05284798,-0.523172081,-1.22159266,-1.21471834,0.00687432289,0.0104957195,0.112803966,1024,1024,24.4599609,1
119,-0.0318453312,0.975646138,-0.502952337,0.44084847,0.442958236,0.00210976601,0.00977816526,0.0979072228,1024,1024,25.84375,1
120,0.69879818,0.346126556,-0.475681067,0.56924367,0.598903596,0.0296599269,0.0210269243,0.452742726,1024,1024,28.5742188,1
121,-0.0856926441,-0.123950183,0.501687527,0.292044699,0,0,0,0,0,0,0,0
122,0.345903277,-0.666736364,-0.977327704,-1.29816079,-1.27698219,0.0211786032,0.0156378541,0.25041154,1024,1024,25.9599609,1
123,-0.578246653,-0.515316486,-0.764801502,-1.85836458,-1.85223532,0.00612926483,0.0222889725,0.508721471,1024,1024,27.5732422,1
124,0.860823989,0.38166225,-0.0719919205,1.17049432,1.15686369,0.0136306286,0.019403128,0.385516882,1024,1024,28.0068359,1
125,0.794210434,-0.668508053,0.627613425,0.753315806,0.754047632,0.000731825829,0.0177667532,0.323233336,1024,1024,27.1943359,1
126,0.640551329,-0.127138078,-0.105270028,0.408143222,0.41327402,0.00513079762,0.0218386073,0.488370985,1024,1024,29.3164062,1
127,-0.253486931,-0.5132851,0.35714829,-0.409623742,-0.391334116,0.0182896256,0.00994245335,0.10122484,1024,1024,26.1083984,1
128,-1.0410955,-0.405861437,1.03284848,-0.414108396,-0.423432797,0.00932440162,0.00613153121,0.0384979732,1024,1024,22.7880859,1
129,-0.0895514488,-0.700814962,1.06049812,0.270131707,0.285118133,0.0149864256,0.00505911652,0.0262089334,1024,1024,23.6044922,1
130,-0.21625036,-0.877330005,0.117309809,-0.976270556,-0.983796954,0.00752639771,0.0141905118,0.20620352,1024,1024,28.4111328,1
131,0.814352512,-0.899057627,-0.349816203,-0.434521317,-0.454380482,0.019859165,0.0166584235,0.284163147,1024,1024,26.1728516,1
132,1.05794036,0.377589107,0.991862416,2.42739201,2.4338634,0.00647139549,0.00544334901,0.0303411726,1024,1024,22.0087891,1
133,-0.00736546516,-0.365717471,0.51110518,0.138022244,0,0,0,0,0,0,0,0
134,0.125962615,-0.939450324,-0.905385315,-1.71887302,-1.73158813,0.0127151012,0.0127276769,0.165881604,1024,1024,25.6914062,1
135,1.04648244,-0.116968036,0.66883862,1.59835303,1.62012458,0.0217715502,0.00989150256,0.100190029,1024,1024,24.2207031,1
