mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index
spot,original,0,1,0.05,0.15,0.17549290028913944,0.5087705741362458,0.3630375138130175,0.08790032699131115,0.01873922480778658,0.0001378627511715167,1.5393406172229183,0.8802975978458492,0.009415860260529244,0
spot,original,1,1,0.05,0.15,-0.5893673915512642,1.042236564737944,-0.39777158916055677,0.14229619642193464,0.015566854771269333,0.00010336423075201939,1.182324820246563,0.9803555946815969,0.09504813274172737,1
spot,original,2,1,0.05,0.15,-0.50984756384249,-0.20441340446077472,0.9434448210648996,0.08932920760492435,0.01873873636078301,0.0001389211692581322,1.5133853991443647,0.889016860740699,0.005892848330571687,2
spot,original,3,1,0.05,0.15,0.291887584598187,0.18905287335379994,0.9999338211710254,0.07945597644317269,0.016399469829608028,0.00010360235748043512,1.5600712156694487,0.8611497570282093,0.00366247907717084,3
spot,original,4,1,0.05,0.15,0.6996818542655585,-0.6295275690301405,-0.10183329688706855,0.13328011636344209,0.03141725551897927,0.0003968271493327393,1.4609982571271916,0.9073472850121662,0.024937266000995217,4
spot,original,5,1,0.05,0.15,0.4709230267519988,0.7581928457701397,-0.6220840819630911,0.1188278117923908,0.012575413950203429,4.618158846039033e-05,2.234689322047279,0.6157930286356013,0.008354787082626455,5
spot,original,6,1,0.05,0.15,-0.4146005954961025,-0.6971842862535451,-0.2818328007783808,0.09009080350362755,0.023163988891523653,0.00021067841688538594,1.5679298233219163,0.8753018285418933,0.0501877738602986,6
spot,original,7,1,0.05,0.15,-0.16250345087856144,0.035107062917060006,0.3249852397823383,0.0572300704534558,0.022022233566027467,0.00018492694051574948,1.4367666332469473,0.853271796351005,0.001104744953440262,7
spot,original,8,1,0.05,0.15,0.6458241756348431,-0.5395846083242948,-0.11969152189820209,0.11079664000168883,0.03322353097084311,0.0004071947344189028,1.8024102601871803,0.8086291172754592,0.024785350903503162,8
spot,original,9,1,0.05,0.15,0.49117185452850065,-0.43404203306636013,0.5309062322409792,0.0656259085814414,0.020189481426276953,0.00014479458443000017,1.9169311163813607,0.7710909803254579,0.00926715943252554,9
spot,original,10,1,0.05,0.15,-0.20713771053776475,0.35095299131190005,-0.8011233789986211,0.05789610413821768,0.020292440088081367,0.00015478387281928432,1.7498734386978976,0.8259097510218306,0.019993787909893552,10
spot,original,11,1,0.05,0.15,0.04186083240260263,0.09966090714375953,0.0811071021208496,0.07869836145101135,0.024302010611548592,0.0001942206569068111,2.252760302809886,0.691465614090202,0.005220719463574164,11
spot,original,12,1,0.05,0.15,-0.4029316778609695,0.6991168396955545,0.18187592269907027,0.12742481424696955,0.020757329868981544,0.00015013886278519278,2.0337947178574476,0.7468341371604756,0.037200966288708726,12
spot,original,13,1,0.05,0.15,0.6897194474774349,0.6317623059531705,-0.43931269606195067,0.12255548451626308,0.019019217578637018,0.00014608368616883744,1.4363676007770496,0.9130173174191831,0.0355089832152868,13
spot,original,14,1,0.05,0.15,-0.4077585833092774,0.08768765297186709,-0.7161268941049268,0.0885112735566544,0.020964188708337658,0.00017603479500166833,1.3648637659040412,0.905771923654819,0.035557798459750455,14
