benchmark_name,walks_per_point,epsilon,zombie_rmse,wost_rmse,rmse_ratio_zombie_over_wost,zombie_elapsed_seconds,wost_elapsed_seconds
convergence,16,0.0001,0.12587389409772304,0.115819664561,1.0868093477461909,0.12551029992755502,0.1121606
convergence,64,0.0001,0.06596300631533265,0.0597828858519,1.1033760812206799,0.5209639000240713,0.4268074
convergence,256,0.0001,0.0300235962073256,0.0307767909495,0.9755271839936048,2.046938000014052,1.6844117
convergence,1024,0.0001,0.014264002744621525,0.0151741479088,0.9400200149854444,8.13636760006193,6.6644147
epsilon,256,0.01,0.031073962024845858,0.0332900626449,0.9334305662415555,1.1881512000691146,2.0014882
epsilon,256,0.001,0.032808147710539574,0.0317879347393,1.0320943458455722,1.7026352001121268,2.0822392
epsilon,256,0.0001,0.029843842480950962,0.033442308427,0.8923978004118944,2.1607696999562904,2.4013164
epsilon,256,1e-05,0.03272837842765075,0.0307531412854,1.0642287928871998,2.581043599988334,2.496623
linear_dirichlet_grid,256,0.0001,0.027774848616732867,0.0271350364568,1.023578820723218,12.348364399978891,12.5600135
