mesh,distance_bin,n,mean_nearest_distance_proxy,mean_abs_error,abs_error_std,abs_error_se,abs_error_ci95_low,abs_error_ci95_high,rmse,mean_steps,mean_sample_variance,mean_boundary_bias_indicator,boundary_bias_std,boundary_bias_se,boundary_bias_ci95_low,boundary_bias_ci95_high
bunny,1,21,0.09189096007439945,0.03572273769142858,0.02381505392694727,0.005196870823794819,0.025536870876790733,0.045908604506066424,0.04261764089382246,99.08835558571428,0.04352586830333333,0.015594971942,0.012577478659255957,0.002744630857511053,0.010215495461278336,0.020974448422721663
bunny,2,22,0.22002211859211893,0.015222994100454544,0.011025960451066102,0.0023507426666759226,0.010615538473769736,0.019830449727139352,0.018649004321035938,61.226562504545456,0.036284051237681816,0.014690138142636365,0.010570485247228367,0.0022536350269354998,0.010273013489842785,0.019107262795429944
bunny,3,23,0.48488079555921326,0.011952440681691306,0.008735625058734663,0.0018215037405443577,0.008382293350224364,0.015522588013158247,0.0146919742560122,37.956182060869565,0.03158220582521739,0.012906560937391304,0.00925133740120208,0.0019290371974559528,0.009125648030377638,0.01668747384440497
bunny,4,24,0.7472675777221026,0.0060013723524166675,0.0059817403279188944,0.0012210176314358182,0.003608177794802464,0.008394566910030871,0.008384915229549149,26.626464845833336,0.01986716109995833,0.006874454983625,0.007441497588985972,0.0015189893345972409,0.003897235887814408,0.009851674079435593
spot,1,22,0.10348156624617934,0.12086766598272726,0.11647180559347185,0.024831872387759593,0.07219719610271846,0.16953813586273606,0.16600618148741828,126.84055397272728,0.6901876740727272,0.05199794624454546,0.039979501647827334,0.008523658390857095,0.03529157579846555,0.06870431669062536
spot,2,24,0.24329033808212444,0.05609073613495833,0.05047519774400366,0.010303206594907466,0.035896451208939695,0.07628502106097697,0.07475132240516183,46.830729158333334,0.22881385625750003,0.0348286051275,0.02952094926558181,0.006025938535272104,0.023017765598366678,0.046639444656633326
spot,3,24,0.3575620301955382,0.016387966605275,0.015447664669429257,0.003153241346476755,0.010207613566180562,0.02256831964436944,0.02229916729848025,28.32177733541667,0.10831099237024999,0.023655995101666664,0.020531007022766702,0.004190874259273036,0.015441881553491514,0.03187010864984181
