mesh,antithetic_normal_mean_variance,antithetic_mean_variance,antithetic_variance_ratio,normal_rmse,antithetic_rmse,lazy_full_exact_seconds,lazy_x1_seconds,lazy_x1_speedup,lazy_full_exact_rmse,lazy_x1_rmse,lazy_x1_exact_refinement_ratio
bunny,0.017615010911833335,0.004941431894246666,0.2805239190017834,0.005935192785679999,0.004363303081726667,237.46360976666665,26.085937266666665,9.103127380057924,0.00595532274675,0.00595532274675,0.09357175375286668
spot,0.24708755618099998,0.06819590801726666,0.2759989579050709,0.022381691479466666,0.01621896080086667,25.615894766666667,3.1197297,8.210934032735805,0.021941141465333335,0.021941141465333335,0.0770936974318
