experiment,method,mesh,seed,num_query_points,valid_points,walks_per_point,epsilon,min_samples,max_samples,batch_size,target_rse,elapsed_seconds,rmse,mae,mean_relative_error,mean_std_error,mean_sample_variance,mean_samples_used,median_samples_used,min_samples_used,max_samples_used,mean_steps,diverged_count,star_queries,fast_only_star_queries,exact_star_queries,refinement_ratio
lazy_refinement,lazy_threshold_x1,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,81020,500,457,512,9.99999975e-05,64,512,32,0.0500000007,3.0743803,0.0210905319528,0.0158659718468,0.133379592517,0.0205645187789,0.24945158031,512,512,512,512,25.959950253,0,6074213,5606877,467336,0.0769377036992
lazy_refinement,lazy_threshold_x4,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,81020,500,457,512,9.99999975e-05,64,512,32,0.0500000007,6.2890992,0.0210905319528,0.0158659718468,0.133379592517,0.0205645187789,0.24945158031,512,512,512,512,25.959950253,0,6074213,4777587,1296626,0.213464032295
lazy_refinement,lazy_threshold_x16,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,81020,500,457,512,9.99999975e-05,64,512,32,0.0500000007,10.2105829,0.0210905319528,0.0158659718468,0.133379592517,0.0205645187789,0.24945158031,512,512,512,512,25.959950253,0,6074213,3771021,2303192,0.3791753763
lazy_refinement,full_exact,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,82029,500,460,512,9.99999975e-05,64,512,32,0.0500000007,25.6522328,0.0226802931895,0.0176405913379,0.0607488602973,0.0206830793839,0.250347814959,512,512,512,512,25.9865998641,0,6120364,0,6120364,1
lazy_refinement,lazy_threshold_x1,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,82029,500,460,512,9.99999975e-05,64,512,32,0.0500000007,3.1119948,0.0226802931895,0.0176405913379,0.0607488602973,0.0206830793839,0.250347814959,512,512,512,512,25.9865998641,0,6120364,5648748,471616,0.0770568547884
lazy_refinement,lazy_threshold_x4,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,82029,500,460,512,9.99999975e-05,64,512,32,0.0500000007,6.4567704,0.0226802931895,0.0176405913379,0.0607488602973,0.0206830793839,0.250347814959,512,512,512,512,25.9865998641,0,6120364,4810708,1309656,0.213983351317
lazy_refinement,lazy_threshold_x16,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,82029,500,460,512,9.99999975e-05,64,512,32,0.0500000007,10.497426,0.0226802931895,0.0176405913379,0.0607488602973,0.0206830793839,0.250347814959,512,512,512,512,25.9865998641,0,6120364,3800527,2319837,0.379035789375
lazy_refinement,full_exact,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,83038,500,460,512,9.99999975e-05,64,512,32,0.0500000007,25.981439,0.0220525992537,0.0168532317732,0.182363403809,0.0201381465349,0.238720430068,512,512,512,512,25.923382303,0,6105475,0,6105475,1
lazy_refinement,lazy_threshold_x1,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,83038,500,460,512,9.99999975e-05,64,512,32,0.0500000007,3.172814,0.0220525992537,0.0168532317732,0.182363403809,0.0201381465349,0.238720430068,512,512,512,512,25.923382303,0,6105475,5633604,471871,0.0772865338078
lazy_refinement,lazy_threshold_x4,C:\THU\projects\WoSt_Final_project-1\spot\spot_triangulated.obj,83038,500,460,512,9.99999975e-05,64,512,32,0.0500000007,6.4253655,0.0220525992537,0.0168532317732,0.182363403809,0.0201381465349,0.238720430068,512,512,512,512,25.923382303,0,6105475,4795921,1309554,0.214488471413
