experiment,method,seed,point_index,x,y,z,value,exact,abs_error,std_error,sample_variance,samples_used,mean_steps,star_queries,fast_only_star_queries,exact_star_queries
antithetic_compare,normal,42865,9,0.100830793,0.0270209312,0.209386826,0.344010562,0.33723855,0.00677201152,0.00683826115,0.0029927562,64,17.9375,1148,1037,111
antithetic_compare,normal,42865,10,-0.0135099739,-0.20665285,-0.00577124953,-0.212121204,-0.225934073,0.0138128698,0.0130100399,0.0108327139,64,20.140625,1289,1167,122
antithetic_compare,normal,42865,11,0.217007607,-0.0828060806,-0.0594988912,0.0708069429,0.0747026354,0.00389569253,0.005865518,0.00220187521,64,14.71875,942,829,113
antithetic_compare,normal,42865,12,-0.0389155746,0.175319672,-0.0863245726,0.0450247303,0.0500795245,0.00505479425,0.014388293,0.0132494709,64,25.5625,1636,1505,131
antithetic_compare,normal,42865,13,-0.0678058565,-0.05962722,-0.170442104,-0.27538383,-0.297875166,0.0224913359,0.0228104088,0.0333001427,64,23.546875,1507,1393,114
antithetic_compare,normal,42865,14,0.0467387736,0.143680871,0.120798975,0.295999199,0.311218619,0.0152194202,0.0171647333,0.0188561957,64,22.671875,1451,1315,136
antithetic_compare,normal,42865,15,0.145893782,0.141875565,-0.183577374,0.0965302885,0.104191974,0.00766168535,0.0121694459,0.00947810616,64,22.84375,1462,1338,124
antithetic_compare,normal,42865,16,-0.0576199591,0.109968364,-0.216965914,-0.162972376,-0.164617509,0.0016451329,0.00414284691,0.00109844364,64,14.84375,950,834,116
antithetic_compare,normal,42865,17,0.18660605,-0.107743405,-0.173138544,-0.0837026611,-0.0942758992,0.0105732381,0.01074534,0.00738958921,64,22.078125,1413,1274,139
antithetic_compare,normal,42865,18,-0.112491213,0.0998374224,-0.0420285761,-0.0580923557,-0.0546823665,0.00340998918,0.0175792035,0.0197778177,64,24.21875,1550,1426,124
antithetic_compare,normal,42865,19,-0.132938027,-0.0137294978,-0.162854239,-0.318872392,-0.309521765,0.00935062766,0.0148494719,0.0141124362,64,21.984375,1407,1293,114
antithetic_compare,antithetic,42865,0,0.214720815,-0.180479914,-0.0651357323,-0.0383750051,-0.0308948308,0.0074801743,0.00621670485,0.00123671733,64,16.5625,1060,919,141
antithetic_compare,antithetic,42865,1,-0.213355243,-0.177180424,-0.171514094,-0.56489104,-0.562049747,0.00284129381,0.00286353193,0.000262394082,64,15.671875,1003,888,115
antithetic_compare,antithetic,42865,2,-0.154485479,-0.0133861154,-0.0201051235,-0.195404828,-0.187976718,0.00742810965,0.0136816353,0.0059899888,64,23.171875,1483,1344,139
antithetic_compare,antithetic,42865,3,0.189807177,-0.0784664899,-0.178640738,-0.0651889667,-0.0673000515,0.00211108476,0.0092438478,0.00273435935,64,21.125,1352,1211,141
antithetic_compare,antithetic,42865,5,0.2160227,0.161333442,-0.0795218199,0.300379813,0.297834337,0.00254547596,0.00194037566,0.00012048184,64,13.671875,875,755,120
antithetic_compare,antithetic,42865,6,-0.0884118676,0.168601424,-0.209336013,-0.121897981,-0.129146457,0.00724847615,0.0099985851,0.00319909467,64,19.078125,1221,1084,137
antithetic_compare,antithetic,42865,7,-0.161449939,-0.041121915,-0.0621133447,-0.260180414,-0.264685214,0.00450479984,0.0159155224,0.00810572319,64,22.921875,1467,1332,135
antithetic_compare,antithetic,42865,8,0.0866980553,0.206225812,-0.167009279,0.119703166,0.125914589,0.00621142238,0.0117413951,0.00441153161,64,21.078125,1349,1210,139
antithetic_compare,antithetic,42865,9,0.100830793,0.0270209312,0.209386826,0.342648745,0.33723855,0.0054101944,0.00625110185,0.00125044084,64,17.703125,1133,1016,117
antithetic_compare,antithetic,42865,10,-0.0135099739,-0.20665285,-0.00577124953,-0.238364935,-0.225934073,0.0124308616,0.00827472936,0.00219107652,64,17.328125,1109,998,111
antithetic_compare,antithetic,42865,11,0.217007607,-0.0828060806,-0.0594988912,0.0678229928,0.0747026354,0.00687964261,0.00554564502,0.000984133803,64,14.90625,954,834,120
antithetic_compare,antithetic,42865,12,-0.0389155746,0.175319672,-0.0863245726,0.0492689088,0.0500795245,0.000810615718,0.013846254,0.00613499992,64,25.375,1624,1478,146
antithetic_compare,antithetic,42865,13,-0.0678058565,-0.05962722,-0.170442104,-0.322430015,-0.297875166,0.0245548487,0.0131905256,0.00556767872,64,21.40625,1370,1245,125
antithetic_compare,antithetic,42865,14,0.0467387736,0.143680871,0.120798975,0.306047529,0.311218619,0.00517109036,0.0138393743,0.00612890488,64,20.53125,1314,1193,121
antithetic_compare,antithetic,42865,15,0.145893782,0.141875565,-0.183577374,0.0958101898,0.104191974,0.00838178396,0.00895655062,0.00256703328,64,21.390625,1369,1214,155
antithetic_compare,antithetic,42865,16,-0.0576199591,0.109968364,-0.216965914,-0.168398857,-0.164617509,0.00378134847,0.00260269851,0.000216769273,64,13.546875,867,753,114
antithetic_compare,antithetic,42865,17,0.18660605,-0.107743405,-0.173138544,-0.0896198303,-0.0942758992,0.00465606898,0.00955147948,0.00291938428,64,21.09375,1350,1204,146
antithetic_compare,antithetic,42865,18,-0.112491213,0.0998374224,-0.0420285761,-0.0591218807,-0.0546823665,0.00443951413,0.0114060333,0.00416312274,64,24.796875,1587,1445,142
antithetic_compare,antithetic,42865,19,-0.132938027,-0.0137294978,-0.162854239,-0.300689131,-0.309521765,0.0088326335,0.0164323337,0.00864069071,64,20.109375,1287,1170,117
lazy_refinement,full_exact,6699,0,-0.180082127,0.0442192256,0.171837896,0.0440158173,0.0359749943,0.00804082304,0.0129407393,0.0107176146,64,21.9375,1404,0,1404
lazy_refinement,full_exact,6699,1,-0.129660845,-0.122000225,0.203849882,-0.0427925028,-0.0478111804,0.00501867756,0.00977951754,0.00612089317,64,19.6875,1260,0,1260
lazy_refinement,full_exact,6699,2,-0.0136832297,0.024396494,0.0062572211,0.0340000726,0.0169704854,0.0170295872,0.0100943986,0.00652140006,64,18.59375,1190,0,1190
lazy_refinement,full_exact,6699,3,-0.00915378332,0.177707285,-0.0659151226,0.117237397,0.102638379,0.0145990178,0.0142711597,0.013034624,64,22.375,1432,0,1432
lazy_refinement,full_exact,6699,4,-0.0758416206,-0.139977366,-0.179290116,-0.392110229,-0.395109117,0.00299888849,0.0121405227,0.00943310745,64,22.171875,1419,0,1419
lazy_refinement,full_exact,6699,5,-0.155595258,0.10435468,-0.0328005254,-0.0583900288,-0.0840411037,0.0256510749,0.017636219,0.0199063178,64,24.875,1592,0,1592
lazy_refinement,full_exact,6699,6,0.0820604265,0.0400923193,-0.0985738635,0.0255199671,0.0235788822,0.00194108486,0.0209232382,0.0280180424,64,25.6875,1644,0,1644
lazy_refinement,full_exact,6699,7,-0.072949782,0.196788698,-0.0982475877,0.0326738656,0.0255913287,0.00708253682,0.0117682973,0.00886354037,64,25.265625,1617,0,1617
lazy_refinement,full_exact,6699,8,0.0837117732,0.158510149,-0.204951018,0.0289372019,0.0372709036,0.00833370164,0.00638660835,0.00261048088,64,19,1216,0,1216
lazy_refinement,full_exact,6699,9,0.147511303,0.0130400658,0.0947698057,0.242668882,0.255321175,0.0126522928,0.0217268243,0.0302115101,64,25.890625,1657,0,1657
lazy_refinement,full_exact,6699,10,-0.214067459,0.0454089642,-0.0543048233,-0.220835268,-0.222963318,0.00212804973,0.0057522282,0.00211764011,64,18.296875,1171,0,1171
lazy_refinement,full_exact,6699,11,0.0835261643,0.153738201,0.126541734,0.347267777,0.363806099,0.016538322,0.0189408176,0.0229602922,64,23.859375,1527,0,1527
lazy_refinement,full_exact,6699,12,-0.100265838,0.0988387167,0.183558345,0.166663468,0.182131231,0.0154677629,0.0183958821,0.0216581412,64,19.453125,1245,0,1245
lazy_refinement,full_exact,6699,13,0.0239555836,-0.00375601649,0.18023324,0.193081439,0.200432807,0.00735136867,0.0204258598,0.026701808,64,22,1408,0,1408
lazy_refinement,full_exact,6699,14,0.158897698,-0.0294616818,0.0175708532,0.137268931,0.147006869,0.00973793864,0.0211395454,0.0286003444,64,23.140625,1481,0,1481
lazy_refinement,full_exact,6699,15,0.0162351578,-0.00504507124,0.195354581,0.220446512,0.206544667,0.0139018446,0.0120832836,0.00934436731,64,23.4375,1500,0,1500
lazy_refinement,full_exact,6699,16,-0.06924887,0.163229644,-0.0950872973,0.0187645443,-0.00110652298,0.0198710673,0.0141844526,0.0128767155,64,26.671875,1707,0,1707
lazy_refinement,full_exact,6699,17,-0.103432395,0.0586233139,-0.16266565,-0.220422402,-0.207474738,0.0129476637,0.0196071509,0.0246041846,64,26.203125,1677,0,1677
lazy_refinement,full_exact,6699,18,0.099680841,-0.0287723541,-0.114537418,-0.045348525,-0.043628931,0.001719594,0.0253242701,0.0410443917,64,26.78125,1714,0,1714
lazy_refinement,full_exact,6699,19,0.0617900193,0.146282107,0.130698472,0.343322933,0.338770598,0.00455233455,0.0196760707,0.0247774553,64,24.90625,1594,0,1594
lazy_refinement,lazy_threshold_x1,6699,0,-0.180082127,0.0442192256,0.171837896,0.0440158173,0.0359749943,0.00804082304,0.0129407393,0.0107176146,64,21.9375,1404,1256,148
lazy_refinement,lazy_threshold_x1,6699,1,-0.129660845,-0.122000225,0.203849882,-0.0427925028,-0.0478111804,0.00501867756,0.00977951754,0.00612089317,64,19.6875,1260,1142,118
