walk_id,step_id,x,y,z,radius,event_type,boundary_type
0,0,0.0500000007,0.0199999996,0.0799999982,0,start,none
0,1,0.0508216992,0.0200815685,0.13203378,0.0520403311,sphere_step,none
0,2,0.127854437,0.0572919622,0.111554533,0.0879662186,sphere_step,none
0,3,0.170129269,0.138455123,0.100775659,0.0921455622,sphere_step,none
0,4,0.198531672,0.159490705,0.135959417,0.0498707294,sphere_step,none
0,5,0.189284131,0.140168339,0.137380168,0.0214683264,sphere_step,none
0,6,0.172036082,0.164516628,0.130091146,0.0307158679,sphere_step,none
0,7,0.215428293,0.169750199,0.11033605,0.0479639173,sphere_step,none
0,8,0.215734959,0.168495655,0.114721544,0.00457170606,sphere_step,none
0,9,0.216249064,0.165074706,0.117216215,0.00426504016,sphere_step,none
0,10,0.21822159,0.165042773,0.120406456,0.0037509352,sphere_step,none
0,11,0.219583243,0.163915634,0.120210953,0.00177840889,sphere_step,none
0,12,0.219999999,0.163915634,0.120210953,0.000416755676,dirichlet_hit,outer
0,2049,0.219583243,0.163915634,0.120210953,0,end,none
1,0,0.0500000007,0.0199999996,0.0799999982,0,start,none
1,1,0.0787283629,-0.0193383396,0.0983131751,0.0520403311,sphere_step,none
1,2,0.0654412508,-0.00401890464,0.196220383,0.0999852642,sphere_step,none
1,3,0.0862467736,0.00702963397,0.192975372,0.0237796158,sphere_step,none
1,4,0.0721460506,-0.0112261549,0.20705466,0.0270246267,sphere_step,none
1,5,0.0729684532,-0.014086511,0.219653219,0.0129453391,sphere_step,none
1,6,0.0729684532,-0.014086511,0.219999999,0.000346779823,dirichlet_hit,outer
1,2049,0.0729684532,-0.014086511,0.219653219,0,end,none
2,0,0.0500000007,0.0199999996,0.0799999982,0,start,none
2,1,0.0446001999,0.0097748274,0.130739376,0.0520403311,sphere_step,none
2,2,0.056813065,0.0940666348,0.157445103,0.0892606229,sphere_step,none
2,3,0.0513720475,0.142913342,0.118747428,0.0625548959,sphere_step,none
2,4,-0.00877871737,0.152700275,0.165953934,0.0770866573,sphere_step,none
2,5,-0.0222782269,0.100475445,0.16931659,0.0540460646,sphere_step,none
2,6,-0.065158695,0.0849621072,0.191439196,0.050683409,sphere_step,none
2,7,-0.0664475337,0.0772277489,0.218902588,0.0285608023,sphere_step,none
2,8,-0.067277275,0.0769457296,0.218242049,0.00109741092,sphere_step,none
2,9,-0.0684232041,0.0758450627,0.217489883,0.00175794959,sphere_step,none
2,10,-0.0674262196,0.0737083927,0.218350902,0.0025101155,sphere_step,none
2,11,-0.0671644881,0.0727824792,0.219690189,0.00164909661,sphere_step,none
2,12,-0.0671644881,0.0727824792,0.219999999,0.000309810042,dirichlet_hit,outer
2,2049,-0.0671644881,0.0727824792,0.219690189,0,end,none
3,0,0.0500000007,0.0199999996,0.0799999982,0,start,none
3,1,0.0996000022,0.0273305662,0.0939391255,0.0520403311,sphere_step,none
3,2,0.0370308757,0.0397467688,0.150470912,0.0852343887,sphere_step,none
3,3,0.0430524908,0.00121690705,0.208033785,0.0695290864,sphere_step,none
3,4,0.0509391651,0.0070400862,0.214895368,0.0119662136,sphere_step,none
3,5,0.0517137274,0.010738221,0.218327731,0.00510463119,sphere_step,none
3,6,0.0513782464,0.0100403186,0.21980992,0.00167226791,sphere_step,none
3,7,0.0513782464,0.0100403186,0.219999999,0.000190079212,dirichlet_hit,outer
3,2049,0.0513782464,0.0100403186,0.21980992,0,end,none
4,0,0.0500000007,0.0199999996,0.0799999982,0,start,none
4,1,0.0754464194,-0.00525772199,0.0422809944,0.0520403311,sphere_step,none
4,2,0.102811933,-0.0588417426,0.0441657864,0.0601969361,sphere_step,none
4,3,0.0721565634,-0.00679542124,-0.0562556796,0.117188066,sphere_step,none
4,4,0.0441895165,-0.0224849209,-0.129541621,0.0799946561,sphere_step,none
4,5,-0.00682727247,0.0517781824,-0.137603655,0.0904583782,sphere_step,none
4,6,-0.032341361,0.0199183114,-0.209179759,0.0823963434,sphere_step,none
4,7,-0.0340184718,0.00978325307,-0.205781892,0.0108202398,sphere_step,none
4,8,-0.0301709957,-0.00259586796,-0.211622164,0.0142181069,sphere_step,none
4,9,-0.025721442,-0.00128243596,-0.218598157,0.00837783515,sphere_step,none
4,10,-0.0248671379,-0.00169306085,-0.217565343,0.00140184164,sphere_step,none
4,11,-0.0260807183,-0.00123426318,-0.215505183,0.00243465602,sphere_step,none
4,12,-0.02332188,-0.00145259651,-0.211963356,0.00449481606,sphere_step,none
4,13,-0.0176288318,0.00394915929,-0.210231915,0.00803664327,sphere_step,none
4,14,-0.0127685834,-0.00114443153,-0.217003092,0.00976808369,sphere_step,none
4,15,-0.0145383384,0.00122973952,-0.216541871,0.00299690664,sphere_step,none
4,16,-0.0145593584,0.00468109129,-0.21632652,0.00345812738,sphere_step,none
4,17,-0.0111959428,0.00541784009,-0.217606783,0.00367347896,sphere_step,none
4,18,-0.00981440209,0.0062937513,-0.219353661,0.00239321589,sphere_step,none
4,19,-0.00981440209,0.0062937513,-0.219999999,0.000646337867,dirichlet_hit,outer
4,2049,-0.00981440209,0.0062937513,-0.219353661,0,end,none
5,0,0.0500000007,0.0199999996,0.0799999982,0,start,none
5,1,0.100752637,0.0181415044,0.0686460584,0.0520403311,sphere_step,none
5,2,0.0937605128,-0.0534817465,0.0608535632,0.0723844171,sphere_step,none
5,3,0.0735865533,-0.0371014141,-0.0507376492,0.114577062,sphere_step,none
5,4,0.12335825,-0.108331814,-0.0046174638,0.0983771458,sphere_step,none
5,5,0.118498847,-0.188603759,-0.0582125001,0.0966417491,sphere_step,none
5,6,0.14443031,-0.17886436,-0.043433208,0.03139624,sphere_step,none
5,7,0.174447417,-0.206556663,-0.0385087989,0.041135639,sphere_step,none
5,8,0.184557244,-0.215412453,-0.0382097103,0.0134433359,sphere_step,none
5,9,0.183798119,-0.21725136,-0.0340759791,0.00458754599,sphere_step,none
5,10,0.183669522,-0.218667001,-0.0364285149,0.00274863839,sphere_step,none
5,11,0.182738036,-0.217777699,-0.0367725715,0.00133299828,sphere_step,none
5,12,0.183283418,-0.216685131,-0.0349158384,0.00222229958,sphere_step,none
5,13,0.180267408,-0.216670007,-0.0362912826,0.00331486762,sphere_step,none
5,14,0.180156812,-0.219000578,-0.0339153446,0.00332999229,sphere_step,none
5,15,0.180156812,-0.219999999,-0.0339153446,0.000999420881,dirichlet_hit,outer
5,2049,0.180156812,-0.219000578,-0.0339153446,0,end,none
6,0,0.0500000007,0.0199999996,0.0799999982,0,start,none
6,1,0.0422126874,0.061482206,0.0495569296,0.0520403311,sphere_step,none
6,2,0.0320019349,0.0693928227,0.0520474315,0.013154462,sphere_step,none
6,3,0.0383437015,0.07180015,0.0453059636,0.00956350192,sphere_step,none
6,4,0.0338799171,0.0761778355,0.0419417657,0.00709981332,sphere_step,none
6,5,0.0345543101,0.0753817633,0.0416946933,0.00107218488,sphere_step,none
6,6,0.0355195925,0.0741227418,0.0419286415,0.00160362874,sphere_step,none
6,7,0.0339930616,0.0761177018,0.0426673107,0.00261835661,sphere_step,none
6,8,0.0345141292,0.0763556436,0.0442034118,0.00163943216,sphere_step,none
6,9,0.0339291357,0.0772970095,0.0414158031,0.00299985777,sphere_step,none
6,10,0.0335272253,0.0773815587,0.0410475358,0.000551635167,neumann_reflect,neumann
6,10,0.106385402,0.0620548055,0.107806638,0.100000001,sphere_step,none
6,11,0.0584599227,0.0592946075,0.190007836,0.0951919481,sphere_step,none
6,12,0.0690229908,0.0568735339,0.162041962,0.0299921632,sphere_step,none
6,13,0.116161689,0.0863304064,0.14562948,0.0579580367,sphere_step,none
6,14,0.189605996,0.0766229033,0.152161881,0.0743705183,sphere_step,none
6,15,0.212959111,0.0666468069,0.168862328,0.0303940028,sphere_step,none
6,16,0.206421539,0.0640726686,0.168406248,0.00704088807,sphere_step,none
6,17,0.204973385,0.052252952,0.161881551,0.0135784596,sphere_step,none
6,18,0.193302676,0.0428402089,0.162878454,0.0150266141,sphere_step,none
6,19,0.175052077,0.0593778566,0.152574643,0.0266973227,sphere_step,none
6,20,0.155999646,0.0230935365,0.134114712,0.0449479222,sphere_step,none
6,21,0.135487348,0.0765403658,0.105501309,0.0640003532,sphere_step,none
6,22,0.170082867,0.0034686476,0.130119652,0.084512651,sphere_step,none
6,23,0.18729347,-0.0433210842,0.132616967,0.0499171317,sphere_step,none
6,24,0.18692489,-0.0277111232,0.161355615,0.0327065289,sphere_step,none
6,25,0.203352451,0.000466454774,0.16684401,0.0330751091,sphere_step,none
6,26,0.203746289,-0.00157471234,0.150326759,0.0166475475,sphere_step,none
6,27,0.19553785,0.00187510066,0.136728838,0.0162537098,sphere_step,none
6,28,0.174959973,0.00773999095,0.148584232,0.0244621485,sphere_step,none
6,29,0.177054048,0.000559291337,0.104169637,0.0450400263,sphere_step,none
6,30,0.135485083,0.0100098774,0.0989674702,0.0429459512,sphere_step,none
6,31,0.069227539,-0.0393457301,0.116764441,0.0845149159,sphere_step,none
6,32,0.132494777,-0.0280062184,0.197549671,0.103235558,sphere_step,none
6,33,0.115603983,-0.0417536646,0.192097515,0.0224503279,sphere_step,none
6,34,0.119679503,-0.0214184392,0.210763454,0.0279024839,sphere_step,none
6,35,0.12676622,-0.015563054,0.211661607,0.00923654437,sphere_step,none
6,36,0.119600363,-0.018370498,0.208452627,0.00833839178,sphere_step,none
6,37,0.110261485,-0.0120498268,0.210937828,0.0115473717,sphere_step,none
6,38,0.114397168,-0.00452512037,0.213835731,0.00906217098,sphere_step,none
6,39,0.109178208,-0.00138854352,0.212875262,0.00616426766,sphere_step,none
6,40,0.110190682,0.00561701879,0.213686973,0.00712473691,sphere_step,none
6,41,0.10679546,0.00475488044,0.218938962,0.00631302595,sphere_step,none
6,42,0.107315592,0.00449919142,0.219827712,0.00106103718,sphere_step,none
6,43,0.107315592,0.00449919142,0.219999999,0.000172287226,dirichlet_hit,outer
6,2049,0.107315592,0.00449919142,0.219827712,0,end,none
7,0,0.0500000007,0.0199999996,0.0799999982,0,start,none
7,1,0.0706194714,0.0593147017,0.052845113,0.0520403311,sphere_step,none
7,2,0.0805904716,0.0834179297,0.0388620608,0.0295958165,sphere_step,none
7,3,0.111401461,0.0790997148,0.0305346772,0.0322072841,sphere_step,none
7,4,0.157183245,0.0913249329,0.00423321128,0.0541958958,sphere_step,none
7,5,0.10824582,0.12959072,-0.00508355722,0.062816754,sphere_step,none
7,6,0.113178492,0.0669621602,0.0302450955,0.0720748305,sphere_step,none
7,7,0.122314572,0.0152355507,0.016777074,0.0542263538,sphere_step,none
7,8,0.0685372278,-0.0355678536,0.0228367262,0.0742274076,sphere_step,none
7,9,0.142364338,-0.0350105278,0.0529663898,0.0797405168,sphere_step,none
7,10,0.18458721,0.00402009115,0.105130896,0.0776356608,sphere_step,none
7,11,0.205560818,-0.0218335148,0.0930575952,0.0354127884,sphere_step,none
7,12,0.209930763,-0.0355456248,0.0918864384,0.0144391805,sphere_step,none
7,13,0.218943521,-0.0319116786,0.0892493501,0.0100692362,sphere_step,none
7,14,0.218674347,-0.0317921005,0.0902639404,0.00105647743,sphere_step,none
7,15,0.21928902,-0.0328440815,0.0897415727,0.001325652,sphere_step,none
7,16,0.219999999,-0.0328440815,0.0897415727,0.000710979104,dirichlet_hit,outer
7,2049,0.21928902,-0.0328440815,0.0897415727,0,end,none
