experiment,method,mesh,seed,num_query_points,valid_points,walks_per_point,epsilon,min_samples,max_samples,batch_size,target_rse,elapsed_seconds,rmse,mae,mean_relative_error,mean_std_error,mean_sample_variance,mean_samples_used,median_samples_used,min_samples_used,max_samples_used,mean_steps,diverged_count,star_queries,fast_only_star_queries,exact_star_queries,refinement_ratio
lazy_refinement,lazy_threshold_x1,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,6699,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.7675491,0.0122250196914,0.0103781815618,1.04013852253,0.015659854305,0.0175061435555,64,64,64,64,23.01171875,0,29455,26893,2562,0.0869801391954
lazy_refinement,lazy_threshold_x4,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,6699,20,20,64,9.99999975e-05,8,64,8,0.0500000007,2.080285,0.0122250196914,0.0103781815618,1.04013852253,0.015659854305,0.0175061435555,64,64,64,64,23.01171875,0,29455,22164,7291,0.247530130708
lazy_refinement,lazy_threshold_x16,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,6699,20,20,64,9.99999975e-05,8,64,8,0.0500000007,3.6407539,0.0122250196914,0.0103781815618,1.04013852253,0.015659854305,0.0175061435555,64,64,64,64,23.01171875,0,29455,16053,13402,0.454999151248
lazy_refinement,full_exact,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,7708,20,20,64,9.99999975e-05,8,64,8,0.0500000007,6.6184327,0.0143933079786,0.0110143326805,0.170512338413,0.0129227313097,0.0137351493555,64,64,64,64,20.36171875,0,26063,0,26063,1
lazy_refinement,lazy_threshold_x1,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,7708,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.7582112,0.0143933079786,0.0110143326805,0.170512338413,0.0129227313097,0.0137351493555,64,64,64,64,20.36171875,0,26063,23505,2558,0.098146798143
lazy_refinement,lazy_threshold_x4,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,7708,20,20,64,9.99999975e-05,8,64,8,0.0500000007,1.941013,0.0143933079786,0.0110143326805,0.170512338413,0.0129227313097,0.0137351493555,64,64,64,64,20.36171875,0,26063,18858,7205,0.276445535817
lazy_refinement,lazy_threshold_x16,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,7708,20,20,64,9.99999975e-05,8,64,8,0.0500000007,3.2992281,0.0143933079786,0.0110143326805,0.170512338413,0.0129227313097,0.0137351493555,64,64,64,64,20.36171875,0,26063,13197,12866,0.493650001918
lazy_refinement,full_exact,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,8717,20,20,64,9.99999975e-05,8,64,8,0.0500000007,6.8443042,0.0151563767729,0.0118406668829,0.842260133691,0.0144383978157,0.0167987848778,64,64,64,64,20.73515625,0,26541,0,26541,1
lazy_refinement,lazy_threshold_x1,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,8717,20,20,64,9.99999975e-05,8,64,8,0.0500000007,0.7572638,0.0151563767729,0.0118406668829,0.842260133691,0.0144383978157,0.0167987848778,64,64,64,64,20.73515625,0,26541,24039,2502,0.0942692438115
lazy_refinement,lazy_threshold_x4,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,8717,20,20,64,9.99999975e-05,8,64,8,0.0500000007,1.9777427,0.0151563767729,0.0118406668829,0.842260133691,0.0144383978157,0.0167987848778,64,64,64,64,20.73515625,0,26541,19414,7127,0.268527937907
lazy_refinement,lazy_threshold_x16,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,8717,20,20,64,9.99999975e-05,8,64,8,0.0500000007,3.2796885,0.0151563767729,0.0118406668829,0.842260133691,0.0144383978157,0.0167987848778,64,64,64,64,20.73515625,0,26541,14074,12467,0.469726084172
epsilon_extrapolation,epsilon,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15290640,20,20,64,0.00999999978,8,64,8,0.0500000007,0.7457223,0.010387103686,0.00900298412889,0.0522612600565,0.0118554573739,0.0126124604954,64,64,64,64,5.8515625,0,7490,4768,2722,0.363417890521
epsilon_extrapolation,epsilon_half,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15290640,20,20,64,0.00499999989,8,64,8,0.0500000007,0.7138557,0.0121836243622,0.00987657289952,0.0563324058267,0.012503521936,0.0132872707909,64,64,64,64,7.846875,0,10044,7451,2593,0.258164078057
epsilon_extrapolation,epsilon,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15291649,20,20,64,0.00999999978,8,64,8,0.0500000007,0.6954434,0.0160712449387,0.0131332738092,0.361415059899,0.0146676393226,0.0167992245173,64,64,64,64,6.6390625,0,8498,6000,2498,0.293951518004
epsilon_extrapolation,epsilon_half,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15291649,20,20,64,0.00499999989,8,64,8,0.0500000007,0.6941595,0.0167680121218,0.0123236584768,0.285275263387,0.0156993467826,0.0190910040401,64,64,64,64,8.8234375,0,11294,8816,2478,0.219408535506
epsilon_extrapolation,epsilon,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15292658,20,19,64,0.00999999978,8,64,8,0.0500000007,0.5676634,0.0136058870112,0.00913952132319,0.253902355811,0.00956821934271,0.0104548372941,64,64,64,64,4.89555921053,0,5953,3906,2047,0.343860238535
epsilon_extrapolation,epsilon_half,C:\THU\projects\WoSt_Final_project-1\obj\Bunny.obj,15292658,20,19,64,0.00499999989,8,64,8,0.0500000007,0.5827541,0.010184537832,0.00688442154052,0.12950903698,0.0105494108345,0.0124588369049,64,64,64,64,6.52302631579,0,7932,5876,2056,0.259203227433
neumann_sanity,sphere_cube,experiments/generated/inner_sphere.obj,368919,20,0,64,9.99999975e-05,8,64,8,0.0500000007,3.06e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neumann_sanity,sphere_cube,experiments/generated/inner_sphere.obj,369928,20,0,64,9.99999975e-05,8,64,8,0.0500000007,2.62e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neumann_sanity,sphere_cube,experiments/generated/inner_sphere.obj,370937,20,0,64,9.99999975e-05,8,64,8,0.0500000007,2.13e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
