method,queries,valid_points,epsilon,pilot_samples,min_samples,max_samples,target_std_error,rmse,mae,max_abs_error,mean_std_error,mean_sample_variance,mean_predicted_samples,mean_samples_used,mean_steps,runtime_seconds
fixed_256,500,459,9.99999974738e-05,32,32,1024,0,0.030761918248,0.0236488836168,0.111638784409,0.0287136654572,0.24453744419,256,256,25.8649322576,1.652915
fixed_512,500,459,9.99999974738e-05,32,32,1024,0,0.0222660286574,0.0166330763478,0.0881128311157,0.0203848461915,0.245314871076,512,512,25.8883569921,3.2145677
fixed_1024,500,459,9.99999974738e-05,32,32,1024,0,0.0147313656125,0.0109152448707,0.0699496865273,0.0144611935638,0.246433219,1024,1024,25.8771424803,6.4560714
variance_adaptive_tau_0.003,500,459,9.99999974738e-05,32,32,1024,0.00300000002608,0.0147990622006,0.0110484851455,0.0699496865273,0.0145599327891,0.246342894655,985.795206972,985.795206972,25.8725186641,6.2535328
variance_adaptive_tau_0.005,500,459,9.99999974738e-05,32,32,1024,0.00499999988824,0.01494947776,0.0112955979516,0.0699496865273,0.0147571964179,0.246272323846,949.710239651,949.710239651,25.8537825998,6.0452537
variance_adaptive_tau_0.008,500,459,9.99999974738e-05,32,32,1024,0.00800000037998,0.0152942025549,0.011731787323,0.0699496865273,0.0152161706803,0.24591442371,899.921568627,899.921568627,25.8578937713,5.8974756
