mesh,dataset,feature,bin,feature_min,feature_max,count,abs_error_mean,abs_error_median,sample_variance_mean,sample_variance_median,samples_used_mean,samples_used_median,mean_steps_mean,mean_steps_median,bias_indicator_mean,bias_indicator_median,normalized_bias_mean,normalized_bias_median,abs_error_epsilon_mean,abs_error_epsilon_median
spot,neumann_pointcloud,local_quality,2,0.8326945513060657,0.8770914815691404,23,0.13516924188695653,0.044769377,0.5296100436956521,0.49863949,256.0,256.0,114.17034634782608,89.078125,,,,,,
spot,neumann_pointcloud,local_quality,3,0.8770914815691404,0.8933606454980043,23,0.07566458677086957,0.061056256,0.5380627493913043,0.3771024,256.0,256.0,100.32540769565219,79.578125,,,,,,
spot,neumann_pointcloud,local_quality,4,0.8933606454980043,0.9996437768808651,24,0.12761209076666666,0.0697026845,0.5501892489583333,0.43619375000000005,256.0,256.0,115.83333320833333,89.15625,,,,,,
spot,bias_eps_1e-3,nearest_distance_proxy_norm,1,0.0022043295769810342,0.12454325601279632,969,,,,,,,,,0.07915513856678949,0.059191346,0.4848859942452528,0.39908114,0.2765157235300103,0.22132149
spot,bias_eps_1e-3,nearest_distance_proxy_norm,2,0.12454325601279632,0.20750644572149107,969,,,,,,,,,0.05339673684039112,0.039684594,0.39182848330553144,0.29112959,0.09901043349553766,0.071739197
spot,bias_eps_1e-3,nearest_distance_proxy_norm,3,0.20750644572149107,0.2897061939127244,969,,,,,,,,,0.03197290811171827,0.017467022,0.29606394892588234,0.17066197,0.043855054857181636,0.022934496
spot,bias_eps_1e-3,nearest_distance_proxy_norm,4,0.2897061939127244,0.5288905495042224,969,,,,,,,,,0.00897311592730031,0.0,0.10921600225816307,0.0,0.01080064455975232,0.0
spot,bias_eps_1e-3,local_edge_mean_norm,1,0.005350184676035858,0.018957025007716455,969,,,,,,,,,0.03164221680667079,0.0052504539,0.25699216404629516,0.050556876,0.07714668187939114,0.012053579
spot,bias_eps_1e-3,local_edge_mean_norm,2,0.018957025007716455,0.02216361734694776,960,,,,,,,,,0.05106097948681666,0.030725039500000002,0.35893624080146874,0.25402461,0.13300162017429792,0.053508401
spot,bias_eps_1e-3,local_edge_mean_norm,3,0.02216361734694776,0.026341302453462896,974,,,,,,,,,0.04284590076255544,0.021541066499999997,0.3157400560284189,0.187163315,0.1123461148711191,0.048097238
spot,bias_eps_1e-3,local_edge_mean_norm,4,0.026341302453462896,0.035066914342010314,973,,,,,,,,,0.048003811744737925,0.027424425,0.3505833388921891,0.23514396,0.10789764943457246,0.046665549
spot,bias_eps_1e-3,local_normal_variation,1,0.00011489959834639259,0.006480336733646859,967,,,,,,,,,0.052765596793354706,0.029917359,0.36479848057099273,0.24794492,0.15363276092323577,0.074652314
spot,bias_eps_1e-3,local_normal_variation,2,0.006480336733646859,0.02642050488494781,967,,,,,,,,,0.05291716835185109,0.032670259,0.3614951143055843,0.25723085,0.14348844396223992,0.069499016
spot,bias_eps_1e-3,local_normal_variation,3,0.02642050488494781,0.05080217068118783,971,,,,,,,,,0.03737376539343873,0.013930321,0.294786796739794,0.12759548,0.07850098585792996,0.02083385
spot,bias_eps_1e-3,local_normal_variation,4,0.05080217068118783,0.19225905394456408,971,,,,,,,,,0.03051936608746035,0.0095398426,0.26126541252735325,0.084789552,0.0548975865092276,0.014985442
spot,bias_eps_1e-3,local_quality,1,0.3836054905333947,0.834858657064517,969,,,,,,,,,0.0459913042998545,0.02547425,0.32955166759187815,0.20220137,0.12440186810704851,0.055463672
spot,bias_eps_1e-3,local_quality,2,0.834858657064517,0.8739803198356637,969,,,,,,,,,0.043077784744436534,0.019798458,0.32230973500226007,0.17819344,0.10876450623143447,0.039088905
spot,bias_eps_1e-3,local_quality,3,0.8739803198356637,0.9047772121827151,969,,,,,,,,,0.04352245218595356,0.021660462,0.3293302436313828,0.19550581,0.09985559062027863,0.037043333
spot,bias_eps_1e-3,local_quality,4,0.9047772121827151,0.9996437768808651,969,,,,,,,,,0.04090635821595459,0.018976688,0.30080278250930853,0.16812746,0.09715989148372033,0.030589819
spot,adaptive_dirichlet,nearest_distance_proxy_norm,1,0.004924347629422406,0.11381778602112808,115,0.01089099576386174,0.00932382047,0.24043173713273042,0.237080589,927.7913043478261,1024.0,26.74475278260869,27.3662109,,,,,,
spot,adaptive_dirichlet,nearest_distance_proxy_norm,2,0.11381778602112808,0.19330120620169103,114,0.013501712565017544,0.0109949708,0.3369987751863246,0.36240024849999997,955.2719298245614,1024.0,26.878761009649125,27.645507799999997,,,,,,
spot,adaptive_dirichlet,nearest_distance_proxy_norm,3,0.19330120620169103,0.25645678787086545,115,0.012555860306652176,0.00869369507,0.2730225896475131,0.267049462,988.5478260869565,1024.0,26.202215988695652,26.6162109,,,,,,
spot,adaptive_dirichlet,nearest_distance_proxy_norm,4,0.25645678787086545,0.48673911132280284,115,0.00999397130058261,0.00808370113,0.13399663075915652,0.115162551,728.5565217391304,1024.0,23.614722411304346,24.507061,,,,,,
spot,adaptive_dirichlet,local_edge_mean_norm,1,0.008262499923611633,0.019090130652282593,115,0.010004912069617391,0.00797986984,0.18224122142893046,0.16126065,803.9130434782609,1024.0,24.834220022608694,25.6533203,,,,,,
spot,adaptive_dirichlet,local_edge_mean_norm,2,0.019090130652282593,0.022345924013783186,111,0.01226634106892793,0.00943255424,0.27965942308539643,0.273412883,957.5045045045046,1024.0,26.35504324054054,27.1230469,,,,,,
spot,adaptive_dirichlet,local_edge_mean_norm,3,0.022345924013783186,0.026261461477177506,117,0.012436166545393165,0.00916928053,0.24138367791345297,0.251425296,914.1538461538462,1024.0,26.02832437521367,26.6826172,,,,,,
spot,adaptive_dirichlet,local_edge_mean_norm,4,0.026261461477177506,0.035066914342010314,116,0.012221811617414657,0.009575903415,0.2813180495309655,0.2707576755,925.6465517241379,1024.0,26.225122300862072,26.97460935,,,,,,
spot,adaptive_dirichlet,local_normal_variation,1,0.0002544519160015228,0.00686637526417407,115,0.013134138559635652,0.00976955891,0.26790878065189566,0.26350224,908.7391304347826,1024.0,26.067851503478266,27.0253906,,,,,,
spot,adaptive_dirichlet,local_normal_variation,2,0.00686637526417407,0.027015240413520252,114,0.011739225826026316,0.01033903655,0.26672551171226316,0.27060900600000004,916.2543859649123,1024.0,26.31329607017544,26.86669925,,,,,,
spot,adaptive_dirichlet,local_normal_variation,3,0.027015240413520252,0.05180275477619421,115,0.011217862836156521,0.00812149048,0.24821975782762606,0.243961245,907.1130434782609,1024.0,25.770577373913046,26.6826172,,,,,,
spot,adaptive_dirichlet,local_normal_variation,4,0.05180275477619421,0.19225905394456408,115,0.010835986742652175,0.0089225769,0.2009846106776435,0.183097124,867.7217391304348,1024.0,25.28381015826087,25.6923828,,,,,,
spot,adaptive_dirichlet,local_quality,1,0.5987906110167021,0.8325733148023708,114,0.01223887201131579,0.01033903655,0.25525709010023684,0.2584543225,868.0263157894736,1024.0,25.662059866666667,26.743652349999998,,,,,,
spot,adaptive_dirichlet,local_quality,2,0.8325733148023708,0.872167435483716,114,0.012480954312992107,0.00954668969,0.2560851456156404,0.2577095625,917.6315789473684,1024.0,25.710772815789472,26.55859375,,,,,,
spot,adaptive_dirichlet,local_quality,3,0.872167435483716,0.9054480721806801,114,0.011593052902701755,0.008382439615,0.24382624795668423,0.235772975,917.4473684210526,1024.0,26.17081322631579,26.796875,,,,,,
spot,adaptive_dirichlet,local_quality,4,0.9054480721806801,0.9996437768808651,117,0.010642924343666664,0.00844073296,0.22893601153504275,0.22439222,896.6666666666666,1024.0,25.88715903846154,26.4306641,,,,,,
spot,bias_eps_1e-2,nearest_distance_proxy_norm,1,0.0022043295769810342,0.12454325601279632,969,,,,,,,,,0.2798591322281321,0.22623742,1.753114813229515,1.2574819,0.7751231982160991,0.66008985
spot,bias_eps_1e-2,nearest_distance_proxy_norm,2,0.12454325601279632,0.20750644572149107,969,,,,,,,,,0.10113315510445821,0.069534309,0.6765692297579979,0.49606109,0.25175328468132097,0.18062308
spot,bias_eps_1e-2,nearest_distance_proxy_norm,3,0.20750644572149107,0.2897061939127244,969,,,,,,,,,0.04536917943576574,0.022680521,0.3951263573829928,0.21473362,0.10093813651026831,0.058523178
spot,bias_eps_1e-2,nearest_distance_proxy_norm,4,0.2897061939127244,0.5288905495042224,969,,,,,,,,,0.010395022748124873,0.0,0.1244350664,0.0,0.017460614569318886,0.0
spot,bias_eps_1e-2,local_edge_mean_norm,1,0.005350184676035858,0.018957025007716455,969,,,,,,,,,0.08420703730183696,0.012218952,0.5717047629762643,0.10755614,0.20588685160660475,0.017392904
spot,bias_eps_1e-2,local_edge_mean_norm,2,0.018957025007716455,0.02216361734694776,960,,,,,,,,,0.13320004908149688,0.059167756,0.9061513261247084,0.47636670000000003,0.3544903182994792,0.133302785
spot,bias_eps_1e-2,local_edge_mean_norm,3,0.02216361734694776,0.026341302453462896,974,,,,,,,,,0.10944029690364783,0.03553316,0.7272107325471253,0.308805495,0.2915782990186858,0.102842775
spot,bias_eps_1e-2,local_edge_mean_norm,4,0.026341302453462896,0.035066914342010314,973,,,,,,,,,0.11012695055868449,0.044035792,0.7457640446002056,0.35643885,0.29389452590464543,0.11280799
spot,bias_eps_1e-2,local_normal_variation,1,0.00011489959834639259,0.006480336733646859,967,,,,,,,,,0.14430365354064117,0.063349694,0.9912536909138572,0.54075032,0.40459243008938983,0.18061686
spot,bias_eps_1e-2,local_normal_variation,2,0.006480336733646859,0.02642050488494781,967,,,,,,,,,0.14617067471025855,0.067845106,0.9353753424613238,0.51065922,0.3943221909562565,0.16978502
spot,bias_eps_1e-2,local_normal_variation,3,0.02642050488494781,0.05080217068118783,971,,,,,,,,,0.08951541650349125,0.018727854,0.6013318441983728,0.1795637,0.21375642462538622,0.040334582
spot,bias_eps_1e-2,local_normal_variation,4,0.05080217068118783,0.19225905394456408,971,,,,,,,,,0.057063742016436665,0.014318585,0.42314661308980434,0.12633076,0.13353632838447993,0.021799743
spot,bias_eps_1e-2,local_quality,1,0.3836054905333947,0.834858657064517,969,,,,,,,,,0.12377796069298246,0.04983747,0.8476515608002064,0.41071779,0.3360057492404644,0.13944703
spot,bias_eps_1e-2,local_quality,2,0.834858657064517,0.8739803198356637,969,,,,,,,,,0.11315241196920536,0.036360621,0.779751273111868,0.34158695,0.29353155697626415,0.083666205
spot,bias_eps_1e-2,local_quality,3,0.8739803198356637,0.9047772121827151,969,,,,,,,,,0.10084504141182662,0.034154564,0.679674154302064,0.30100873,0.26203212960825595,0.08340615
spot,bias_eps_1e-2,local_quality,4,0.9047772121827151,0.9996437768808651,969,,,,,,,,,0.09898107544246645,0.023216456,0.6421684785563673,0.21492007,0.2537057981520227,0.058160365
