mesh,dataset,feature,target,pearson_r,n
bunny,bias_eps_1e-3,local_area_norm,bias_indicator,0.034249630869780064,4018
bunny,bias_eps_1e-3,local_area_norm,normalized_bias,0.02190839145837518,4018
bunny,bias_eps_1e-3,local_area_norm,mean_steps_epsilon,0.03697015660547349,4018
bunny,bias_eps_1e-3,local_area_norm,abs_error_epsilon,0.0039232033611314235,4018
bunny,bias_eps_1e-3,local_aspect_ratio,bias_indicator,0.0038698309827640475,4018
bunny,bias_eps_1e-3,local_aspect_ratio,normalized_bias,0.011045042905801288,4018
bunny,bias_eps_1e-3,local_aspect_ratio,mean_steps_epsilon,0.007563326287468544,4018
bunny,bias_eps_1e-3,local_aspect_ratio,abs_error_epsilon,-0.010984273716857848,4018
bunny,bias_eps_1e-3,local_quality,bias_indicator,0.012469819250885628,4018
bunny,bias_eps_1e-3,local_quality,normalized_bias,0.003224955853714439,4018
bunny,bias_eps_1e-3,local_quality,mean_steps_epsilon,0.007416022803315875,4018
bunny,bias_eps_1e-3,local_quality,abs_error_epsilon,0.023513477395796335,4018
bunny,bias_eps_1e-3,local_normal_variation,bias_indicator,-0.06067109712453988,4018
bunny,bias_eps_1e-3,local_normal_variation,normalized_bias,-0.034010891103918334,4018
bunny,bias_eps_1e-3,local_normal_variation,mean_steps_epsilon,-0.06477803458450009,4018
bunny,bias_eps_1e-3,local_normal_variation,abs_error_epsilon,-0.06381098484520449,4018
bunny,adaptive_dirichlet,nearest_distance_proxy_norm,abs_error,-0.02103093709046748,490
bunny,adaptive_dirichlet,nearest_distance_proxy_norm,std_error,-0.16623890694689597,490
bunny,adaptive_dirichlet,nearest_distance_proxy_norm,sample_variance,-0.4384293963158072,490
bunny,adaptive_dirichlet,nearest_distance_proxy_norm,samples_used,-0.4218377633268636,490
bunny,adaptive_dirichlet,nearest_distance_proxy_norm,mean_steps,-0.5451933806673329,490
bunny,adaptive_dirichlet,local_edge_mean_norm,abs_error,0.022449719432033163,490
bunny,adaptive_dirichlet,local_edge_mean_norm,std_error,0.09502741992915197,490
bunny,adaptive_dirichlet,local_edge_mean_norm,sample_variance,0.1125089811556291,490
bunny,adaptive_dirichlet,local_edge_mean_norm,samples_used,0.049080128057019674,490
bunny,adaptive_dirichlet,local_edge_mean_norm,mean_steps,0.033117466459233,490
bunny,adaptive_dirichlet,local_area_norm,abs_error,0.002846372616946751,490
bunny,adaptive_dirichlet,local_area_norm,std_error,0.07788424987480205,490
bunny,adaptive_dirichlet,local_area_norm,sample_variance,0.07109225537313339,490
bunny,adaptive_dirichlet,local_area_norm,samples_used,0.02166912887898902,490
bunny,adaptive_dirichlet,local_area_norm,mean_steps,0.009318929475415134,490
bunny,adaptive_dirichlet,local_aspect_ratio,abs_error,0.05080693328354576,490
bunny,adaptive_dirichlet,local_aspect_ratio,std_error,0.033434165067282154,490
bunny,adaptive_dirichlet,local_aspect_ratio,sample_variance,0.12177791076197778,490
bunny,adaptive_dirichlet,local_aspect_ratio,samples_used,0.11466813751395741,490
bunny,adaptive_dirichlet,local_aspect_ratio,mean_steps,0.08356350972353324,490
bunny,adaptive_dirichlet,local_quality,abs_error,-0.04619765184180332,490
bunny,adaptive_dirichlet,local_quality,std_error,-0.021000551346001983,490
bunny,adaptive_dirichlet,local_quality,sample_variance,-0.11632319813311891,490
bunny,adaptive_dirichlet,local_quality,samples_used,-0.11714806168257014,490
bunny,adaptive_dirichlet,local_quality,mean_steps,-0.07810500055930553,490
bunny,adaptive_dirichlet,local_normal_variation,abs_error,-0.007104166825360293,490
bunny,adaptive_dirichlet,local_normal_variation,std_error,-0.001966470043003518,490
bunny,adaptive_dirichlet,local_normal_variation,sample_variance,-0.0054730111004260675,490
bunny,adaptive_dirichlet,local_normal_variation,samples_used,0.028869358633893383,490
bunny,adaptive_dirichlet,local_normal_variation,mean_steps,-0.008630852240614386,490
bunny,bias_eps_1e-2,nearest_distance_proxy_norm,bias_indicator,-0.5475503432148692,4018
bunny,bias_eps_1e-2,nearest_distance_proxy_norm,normalized_bias,-0.05398790139499087,4018
bunny,bias_eps_1e-2,nearest_distance_proxy_norm,mean_steps_epsilon,-0.5513137375811725,4018
bunny,bias_eps_1e-2,nearest_distance_proxy_norm,abs_error_epsilon,-0.5496989632834378,4018
bunny,bias_eps_1e-2,local_edge_mean_norm,bias_indicator,-0.01710959091762133,4018
bunny,bias_eps_1e-2,local_edge_mean_norm,normalized_bias,6.925319376235658e-05,4018
bunny,bias_eps_1e-2,local_edge_mean_norm,mean_steps_epsilon,0.06026206925919455,4018
bunny,bias_eps_1e-2,local_edge_mean_norm,abs_error_epsilon,-0.014738812524643877,4018
bunny,bias_eps_1e-2,local_area_norm,bias_indicator,-0.0038685353194259147,4018
bunny,bias_eps_1e-2,local_area_norm,normalized_bias,0.0008831517422657879,4018
bunny,bias_eps_1e-2,local_area_norm,mean_steps_epsilon,0.05303828124652785,4018
bunny,bias_eps_1e-2,local_area_norm,abs_error_epsilon,-0.005406661149554023,4018
bunny,bias_eps_1e-2,local_aspect_ratio,bias_indicator,-0.024498937877012666,4018
bunny,bias_eps_1e-2,local_aspect_ratio,normalized_bias,-0.003111098975460789,4018
bunny,bias_eps_1e-2,local_aspect_ratio,mean_steps_epsilon,0.02618200891660643,4018
bunny,bias_eps_1e-2,local_aspect_ratio,abs_error_epsilon,-0.011914221840147985,4018
bunny,bias_eps_1e-2,local_quality,bias_indicator,0.03759902138102306,4018
bunny,bias_eps_1e-2,local_quality,normalized_bias,0.00621395337491039,4018
bunny,bias_eps_1e-2,local_quality,mean_steps_epsilon,-0.01403449913071183,4018
bunny,bias_eps_1e-2,local_quality,abs_error_epsilon,0.025637892070578688,4018
bunny,bias_eps_1e-2,local_normal_variation,bias_indicator,-0.0567977550832608,4018
bunny,bias_eps_1e-2,local_normal_variation,normalized_bias,-0.014175778590085071,4018
bunny,bias_eps_1e-2,local_normal_variation,mean_steps_epsilon,-0.03714544555993481,4018
bunny,bias_eps_1e-2,local_normal_variation,abs_error_epsilon,-0.047339074323999704,4018
spot,dirichlet_pointcloud,nearest_distance_proxy_norm,abs_error,-0.09477090902546499,469
spot,dirichlet_pointcloud,nearest_distance_proxy_norm,std_error,-0.24294279644477215,469
spot,dirichlet_pointcloud,nearest_distance_proxy_norm,sample_variance,-0.22492404033692737,469
spot,dirichlet_pointcloud,nearest_distance_proxy_norm,samples_used,nan,469
spot,dirichlet_pointcloud,nearest_distance_proxy_norm,mean_steps,-0.3300724822788888,469
spot,dirichlet_pointcloud,local_edge_mean_norm,abs_error,0.11897251745747174,469
spot,dirichlet_pointcloud,local_edge_mean_norm,std_error,0.273436229372728,469
spot,dirichlet_pointcloud,local_edge_mean_norm,sample_variance,0.29104636957639374,469
spot,dirichlet_pointcloud,local_edge_mean_norm,samples_used,nan,469
spot,dirichlet_pointcloud,local_edge_mean_norm,mean_steps,0.19210852037072035,469
spot,dirichlet_pointcloud,local_area_norm,abs_error,0.12172501462599646,469
spot,dirichlet_pointcloud,local_area_norm,std_error,0.2721286415073755,469
