mesh,mesh_variant,point_id,distance_bin,bin_min,bin_max,x,y,z,nearest_distance_proxy_norm,local_edge_mean_norm,local_area_norm,local_aspect_ratio,local_quality,local_normal_variation,point_index
spot,original,0,1,0.05,0.15,0.17549290028913944,0.5087705741362458,0.3630375138130175,0.08790032699131115,0.01873922480778658,0.0001378627511715167,1.5393406172229183,0.8802975978458492,0.009415860260529244,0
spot,original,1,1,0.05,0.15,-0.5893673915512642,1.042236564737944,-0.39777158916055677,0.14229619642193464,0.015566854771269333,0.00010336423075201939,1.182324820246563,0.9803555946815969,0.09504813274172737,1
spot,original,0,2,0.15,0.3,-0.030209923302021657,-0.325094930312811,-0.9048559808165658,0.2233584215069923,0.02710975318262268,0.00027362439175561155,1.77461873860359,0.8179498380008549,0.006068535415409452,2
spot,original,1,2,0.15,0.3,-1.0004448088482985,0.3649552468127948,0.2601650834124569,0.28420466436929526,0.023027310039985153,0.0002119274787538168,1.4040395621510111,0.9029783111390253,0.0005195762622197305,3
spot,original,0,3,0.3,0.6,-1.0273970444945235,-0.07946518778368983,-0.8468798981549919,0.32452196251902,0.02162991582982897,0.00019127774652161002,1.3343936723164176,0.9289528985850508,0.03813572704440656,4
spot,original,1,3,0.3,0.6,-1.0656541947886364,0.5417963547468969,0.578846587300528,0.35134368808558025,0.021600748135061992,0.0001840490416208889,1.5084737605926613,0.8863520239003447,0.001166130969533478,5
