method,queries,valid_points,epsilon,pilot_samples,min_samples,max_samples,target_std_error,rmse,mae,max_abs_error,mean_std_error,mean_sample_variance,mean_predicted_samples,mean_samples_used,mean_steps,runtime_seconds
fixed_256,500,490,9.99999974738e-05,32,32,1024,0,0.00860712864164,0.00617615826124,0.0375230386853,0.0074686105824,0.0169760780233,256,256,21.4181281888,13.5009841
fixed_512,500,490,9.99999974738e-05,32,32,1024,0,0.00548892273383,0.0040340136442,0.0216624587774,0.00529308354747,0.0170185866371,512,512,21.4186344069,27.0252611
fixed_1024,500,490,9.99999974738e-05,32,32,1024,0,0.00404028226049,0.00291770685521,0.0175248533487,0.00374878615643,0.0170317743535,1024,1024,21.4311762596,53.9748417
variance_adaptive_tau_0.003,500,490,9.99999974738e-05,32,32,1024,0.00300000002608,0.00441877418691,0.00333467268917,0.0175248533487,0.00424399230836,0.016912068673,794.8,794.8,21.4170368467,45.8139312
variance_adaptive_tau_0.005,500,490,9.99999974738e-05,32,32,1024,0.00499999988824,0.00542563943612,0.00421100774286,0.0245876312256,0.00533646302386,0.0167804467245,562.483673469,562.483673469,21.374841727,33.20288
variance_adaptive_tau_0.008,500,490,9.99999974738e-05,32,32,1024,0.00800000037998,0.00879790591006,0.006481645319,0.0635015666485,0.00773680632309,0.0165618515718,263.783673469,263.783673469,21.2770068986,16.5792262
