mesh,distance_bin,n,mean_nearest_distance_proxy_norm,mean_abs_error,rmse,mean_steps,mean_sample_variance,mean_boundary_bias,max_boundary_bias
bunny,1,21,0.09189096007439945,0.03572273769142857,0.04261764089382246,99.08835558571428,0.04352586830333333,0.015594971942,0.0435886085
bunny,2,22,0.22002211859211893,0.015222994100454546,0.018649004321035938,61.226562504545456,0.036284051237681816,0.014690138142636365,0.0394203812
bunny,3,23,0.48488079555921326,0.011952440681691304,0.0146919742560122,37.956182060869565,0.03158220582521739,0.012906560937391304,0.0366642252
bunny,4,24,0.7472675777221026,0.006001372352416667,0.008384915229549149,26.626464845833336,0.019867161099958335,0.0068744549836249995,0.033779934
spot,1,22,0.10348156624617934,0.12086766598272726,0.16600618148741828,126.84055397272728,0.6901876740727273,0.05199794624454546,0.13833195
spot,2,24,0.24329033808212444,0.05609073613495833,0.07475132240516183,46.830729158333334,0.22881385625749998,0.0348286051275,0.0896790326
spot,3,24,0.3575620301955383,0.016387966605275,0.02229916729848025,28.321777335416666,0.10831099237024999,0.023655995101666664,0.0831744671
