distance_bin,bunny_n,spot_n,spot_over_bunny_error,spot_over_bunny_bias,spot_over_bunny_steps,status
1,21,22,3.383493925543356,3.3342763576576786,1.280075274465591,matched
2,22,24,3.684606048246679,2.370883431409957,0.7648760152892239,matched
3,23,24,1.3710979239895342,1.832865874683427,0.7461703416322959,matched
4,,,,,,missing mesh/bin pair
