benchmark_name,walks_per_point,epsilon,zombie_rmse,wost_rmse,rmse_ratio_zombie_over_wost,zombie_mean_steps,wost_mean_steps,zombie_elapsed_seconds,wost_elapsed_seconds
neumann_convergence,16,0.0001,0.03739113771118481,0.041398495052,0.9032004101651132,249.86875,30.9261363636,1.8854644000530243,1.0912602
neumann_convergence,64,0.0001,0.019311182718294385,0.0249694596414,0.773392095609308,246.83859375,33.5192550505,7.395196400117129,4.5720535
neumann_convergence,256,0.0001,0.015992222863249465,0.0130824408186,1.2224188960604718,246.4503125,34.4566761364,29.631547200027853,18.8182955
neumann_convergence,1024,0.0001,0.014038665976749364,0.011408497157,1.2305447232491575,245.957568359375,34.4659584122,118.58958399994299,78.1642369
neumann_epsilon,256,0.01,0.02223747655754213,0.152940139554,0.1453998709716787,110.42834595959596,6.7528189433,63.05312419985421,10.7615829
neumann_epsilon,256,0.001,0.015054362379725812,0.0267646099194,0.5624726990253589,224.77659406565655,15.9036324098,64.00970010017045,12.2635337
neumann_epsilon,256,0.0001,0.015389539769909207,0.0124854255182,1.232600342493404,252.78499842171718,32.207876933,29.965784600004554,17.6370451
neumann_epsilon,256,1e-05,0.017648292651139368,0.0139836838553,1.26206318976887,265.1345486111111,48.8789867912,25.85678099980578,19.6664582
neumann_mixed_grid,256,0.0001,0.011276520871993476,0.0119632230828,0.9425988961291023,140.54291513480393,19.6191252461,85.86802870011888,17.242947
